M-AILABS_pol_000244	lalka_1_08_f000126	Zkąd ona wie - myślał dalej - że ja kupiłem serwis i srebra?
M-AILABS_pol_000419	saragossie_59_f000042	Pozostała po nim z tego związku córka imieniem Leonora która poszła za mąż i miała dziecko.
M-AILABS_pol_000420	saragossie_55_f000135	Ojciec podpisał go panna Cimiento także go podpisała pocałowała mego ojca w rękę i wróciła w milczeniu do swego laku.
M-AILABS_pol_000421	saragossie_30_f000135	Bynajmniej nie rozmiłowałem się w tych szaleństwach atoli nauczyłem się wielu nowych dla mnie rzeczy i teraz dopiero poznałem dlaczego mnie oddalono z Astorgas.
M-AILABS_pol_000422	lalka_1_18_f000002	Wokulski powoli otwierał list pani Meliton przypominając sobie niedawne wypadki.
M-AILABS_pol_000423	lalka_2_19_f000155	praw natury a złudzeniami własnych zmysłów wolą niedowierzać zmysłom.
M-AILABS_pol_000424	lalka_2_15_f000165	Ir wciąż mi niedomaga. Polityka stoi w jednej mierze: ciągła niepewność.
M-AILABS_pol_000425	saragossie_65_f000031	Młody Andaluzyjczyku bracia nasi z Kassar-Gomelezu pochlebnie piszą mi o tobie. Oby błogosławieństwo Proroka spoczęło na tobie.
M-AILABS_pol_000426	lalka_3_10_f000027	- Nie mam zamiaru być wielbicielem pani.
M-AILABS_pol_000427	lalka_2_02_f000162	Wokulski był tak ciekawy tego co mu powie i tak stracił wszelką władzę nad sobą że chyba zabiłby człowieka któryby im w tej chwili przeszkodził.
M-AILABS_pol_000428	saragossie_55_f000049	Mój ojciec ze swej strony coraz rzadziej wychodził na miasto.
M-AILABS_pol_000429	lalka_1_13_f000110	Ktoś zaczął gwizdać inny nucił półgłosem; stopniała nawet sztywna powaga oficerów zamieniając się w koleżeńską zażyłość.
M-AILABS_pol_000430	saragossie_09_f000080	Jeden wisielec wsiadł na kozła drugi na mnie i tak znowu zmusili nas obu galopować z nimi przez góry i przepaście.
M-AILABS_pol_000431	lalka_2_02_f000190	Panie! - przerwała z uśmiechem panna Izabela - ależ to jest podstęp. Ja chcę spłacić jeden dług a pan chce mnie zmusić do zaciągania nowych. Czy to właściwe?
M-AILABS_pol_000432	lalka_2_23_f000074	gdyby mi pozwoliła panie pocałować brzeg swojej sukni... Ale czy nie nudzę pana?
M-AILABS_pol_000433	saragossie_04_f000141	Wielebny don Ińigo uczyń mi tę przyjemność przynieś wielką księgę z cudownymi historiami i przeczytaj nam którą.
M-AILABS_pol_000434	lalka_3_14_f000038	Takbym gdzie pojechał... Mój Boże dwadzieścia lat nie wyjrzałem za warszawskie rogatki!
M-AILABS_pol_000435	saragossie_07_f000144	Gdy się wypogodziło marynarze weszli na marsreję ażeby rozwinąć marsel ale tak sobie niezręcznie w tym poczynali że bosman a następnie kapitan weszli za nimi.
M-AILABS_pol_000436	saragossie_39_f000075	Życie znajduje się we wszystkich częściach ciała nawet w płynach nawet we krwi która psuje się dobyta z naszych żył.
M-AILABS_pol_000437	lalka_1_02_f000046	To nic wojny nie będzie. Zresztą - westchnął p. Ignacy - co nas obchodzi wojna w której nie przyjmie udziału Bonaparte.
M-AILABS_pol_000438	saragossie_52_f000146	Zuchwalcze zapłacisz mi za twoje nikczemne zniewagi!
M-AILABS_pol_000439	saragossie_20_f000068	Ojciec skończywszy ostatni wiersz swego dzieła odkrył w nim jeszcze wiele niedokładności których zrazu nie dostrzegł
M-AILABS_pol_000440	lalka_2_27_f000132	Potok wysechł a panna została w otchłani napół rozbudzona. Płacze teraz już tak głośno że ją czasem i pastuchy słyszą na łąkach i będzie płakać wiek wieków.
M-AILABS_pol_000441	lalka_1_03_f000159	Coraz więcej ludzi coraz więcej wozów aż nareszcie utworzył się jeden wielki potok uliczny z którego cochwila ktoś wpadał do nas za sprawunkiem.
M-AILABS_pol_000442	lalka_2_25_f000129	Przez dwa następne dnie padał deszcz i goście zasławscy nie opuszczali pałacu.
M-AILABS_pol_000443	saragossie_66_f000069	Abdon widząc że wypędzano Maurów z całej Hiszpanii na dwa lata przed zdobyciem Grenady przeszedł na wiarę chrześcijańską.
M-AILABS_pol_000444	saragossie_33_f000035	Oby ci Bóg długich lat użyczył! - rzekł Dellius. Jakoż w istocie ten rodzaj błogosławieństwa stal się prawdziwą przepowiednią
M-AILABS_pol_000445	lalka_2_04_f000156	W teatrze Wielkim... na balkonie i paradyzie... woźnemu wieniec... bukiet przez orkiestrę.
M-AILABS_pol_000446	saragossie_36_f000284	Panowie jestem jednym z tych małżonków którym hrabia de Peńa Flor zakłóca spokój.
M-AILABS_pol_000447	saragossie_21_f000063	Położenie moje stawało się coraz bardziej kłopotliwe; wszelako trzeba było nazajutrz wsiąść do lektyki.
M-AILABS_pol_000448	lalka_3_23_f000197	- Proszę pana... naszemu panu coś się stało.
M-AILABS_pol_000449	lalka_2_05_f000018	zgodził się na wszystkie warunki bezwstydnego dorożkarza i jęcząc pojechał do teatru.
M-AILABS_pol_000450	lalka_1_23_f000038	jedynego możliwego wykonawcę moich planów... Jemu jednemu powierzyłbym kapitały i jestem pewny że miałbym conajmniej ośm tysięcy rubli rocznie.
M-AILABS_pol_000451	lalka_3_07_f000170	- Toteż pańskie wielbicielki garderobiane zapewne nie drożą się.
M-AILABS_pol_000452	saragossie_27_f000204	Oto ciało margrabiego Valomez: umieścicie je w izbie do balsamowania. Co zaś do tych dwóch chrześcijan wrzucicie ich w świeży dół wykopany wczoraj.
M-AILABS_pol_000453	lalka_1_07_f000009	Za kilka dni gdy odbierze pieniądze za swój serwis sama wręczy ojcu paręset rubli prosząc ażeby je przegrał do tego pana Wokulskiego
M-AILABS_pol_000454	lalka_1_12_f000132	A... a!... - szepnęła staruszka i rzewnie się rozpłakała.
M-AILABS_pol_000455	lalka_1_23_f000108	Przyjmij ten drobiazg od człowieka dziś trochę chorego i wierzaj - nienajgorszego a będę miał nadzieję że kiedyś zapomnisz mi moich niedorzecznych złośliwości.
M-AILABS_pol_000456	lalka_1_12_f000037	Pan Łęcki wziął go pod rękę i w sposób bardzo uroczysty wprowadził do pierwszego salonu gdzie byli sami mężczyźni.
M-AILABS_pol_000457	saragossie_24_f000023	Tymczasem czuwałam tak nad jego jak i nad twoim losem.
M-AILABS_pol_000458	lalka_2_28_f000149	ażeby ziemia rozstąpiła się pod nim i pochłonęła go razem z temi ruinami z tym kamieniem z tym napisem.
M-AILABS_pol_000459	saragossie_30_f000122	Kapitan wytłumaczył mi że postępował od stopnia do stopnia i wszędzie odznaczał się świetnymi czynami.
M-AILABS_pol_000460	lalka_2_19_f000057	Cztery fortuny utopiłem w moich badaniach zużyłem kilkunastu ludzi; dziś zaś potrzebuję nowej fortuny i nowych ludzi.
M-AILABS_pol_000461	saragossie_11_f000041	HISTORIA TYBALDA DE LA JACQUIERE
M-AILABS_pol_000462	lalka_3_06_f000043	że woli mieć do czynienia z czterema żydówkami aniżeli z jedną wielką damą.
M-AILABS_pol_000463	lalka_2_07_f000025	W tej chwili czuje że ktoś pochwycił go ztyłu za ramię i odwróciwszy głowę widzi owego majestatycznego pana który od Szlangbauma dostał w cukierni rubla zadatku.
M-AILABS_pol_000464	lalka_3_01_f000144	- Zresztą - zakończyłem - bliższych informacyi o komornem udzieli ci twój rządca pan Wirski po którego zaraz poszlę stróża.
M-AILABS_pol_000465	saragossie_34_f000128	W tej chwili Busqueros wyszedł niespodzianie z bocznej ścieżki i zbliżywszy się do nas poufale rzekł:
M-AILABS_pol_000466	saragossie_13_f000194	Odzyskałem apetyt siły. jednym słowem zupełnie przyszedłem do zdrowia. Z początku podróżowałem w lektyce ale trzeciego dnia nająłem muła i wesoło puściłem się w dalszą drogę.
M-AILABS_pol_000467	saragossie_40_f000038	Nadzieja posiadania pięknej Sary i widok złota zawsze dla Żyda ponętny wprawiły mnie w zachwyt który jednak nie przeszkodził mi natychmiast wybiec na ulicę z zamiarem ostatecznego zdyskredytowania srebrnej monety.
M-AILABS_pol_000468	saragossie_45_f000074	Zaledwie jednak okręt wyruszył gdy dobroć i sprawiedliwość wzięły górę w sercu wicekróla i począł z innego punktu zapatrywać się na moją sprawę.
M-AILABS_pol_000469	saragossie_57_f000064	Odtąd księżniczka księżna Sidonia i Toledo starali się we wszystkim dowieść że uważają mnie za równego.
M-AILABS_pol_000470	lalka_3_04_f000164	- Ciszej! - zgromił go sędzia. - Tak i cóż?
M-AILABS_pol_000471	lalka_2_18_f000069	Gdyby ją miało już oddawna wykryliby ten fakt autorowie Przewodników; bo i od czegóż oni są?
M-AILABS_pol_000472	saragossie_60_f000059	Tymczasem don Filip Andegaweński królował nad Hiszpanią i Indiami a nawet nad sercami swoich poddanych.
M-AILABS_pol_000473	lalka_2_21_f000175	Poczekamy jeszcze z godzinę ale zato lepiej pozna pan okolicę. Bardzo panie ładna miejscowość.
M-AILABS_pol_000474	saragossie_36_f000166	Naówczas uwiadomiłem nieznajomą o moich upodobaniach zajęciach młodości i o spółce jaką zawarłem z czterema towarzyszami którzy mieli dopomagać mi w przedsięwzięciach.
M-AILABS_pol_000475	lalka_1_21_f000111	Później przypomniał sobie że afekta te starał się zamaskować wyszukaną grzecznością która nawet w jego oczach wyglądała na pokorę.
M-AILABS_pol_000476	lalka_1_12_f000141	Wracając do tematu który nam przerwano czy nie sądzisz pan że dobrze byłoby założyć w kraju polską fabrykę tanich tkanin?
M-AILABS_pol_000477	lalka_1_04_f000193	Aha więc tak sądzisz? - zawołał. - Upewniam cię że nic nie wiesz stary marzycielu.
M-AILABS_pol_000478	saragossie_28_f000108	Uważałam go za istotę zupełnie zależną ode mnie nie dziwiłam się więc jego rozpaczy.
M-AILABS_pol_000479	saragossie_17_f000064	Wróciliśmy do Segowii gdzie od razu wpadliśmy na same uroczystości biesiady widowiska i bale.
M-AILABS_pol_000480	lalka_3_15_f000137	Była to korespondencya od baronowej mającej dyplomatyczne stosunki tudzież kilka urzędowych aktów.
M-AILABS_pol_000481	lalka_3_21_f000045	A jednakże ciężko żyć na świecie. I nieraz myślę sobie: czy naprawdę jest jaki plan wedle którego cała ludzkość posuwa się ku lepszemu czyli też wszystko jest dziełem przypadku a ludzkość czy nie idzie tam gdzie ją popchnie większa siła?...
M-AILABS_pol_000482	saragossie_04_f000199	Nazajutrz z rana fechtowałem się z Garciasem następnie poszedłem na polowanie po wieczerzy zaś gdy wszyscy zasiedli koło komina ojciec znowu posłał teologa po wielką księgę.
M-AILABS_pol_000483	lalka_1_06_f000152	Muszę naradzać się z niektórymi. A co do naszych - dodał patrząc w oczy córce - zapewniam cię że gdy usłyszą kto u mnie bywa ani jednego nie zabraknie w salonie.
M-AILABS_pol_000484	saragossie_57_f000096	Postarałem się aby je umieszczono w pokoju wychodzącym na ulicę i aby nie zamykano żaluzji.
M-AILABS_pol_000485	lalka_1_19_f000083	Wokulski zauważył naprędce że jeden z panów który jeździł bez strzemion trzymając prawą rękę za plecami
M-AILABS_pol_000486	lalka_1_06_f000052	Po rozmowie jednak jaką miałam w tej materyi z Krzeszowską zaczynam lękać się ażeby piękne te pamiątki nie przeszły w niewłaściwe ręce.
M-AILABS_pol_000487	lalka_1_14_f000126	Byłem. Panna Małgorzata powiedziała że dobrze.
M-AILABS_pol_000488	lalka_2_10_f000244	Teraz rozumiem... Naturalnie że się obraził... No - dodał po chwili - ale kto mógł przypuścić że jest tak obraźliwy? Taki sobie zwyczajny kupiec!
M-AILABS_pol_000489	saragossie_06_f000085	Sądzę że mnie rozumiesz; namyśl się i daj mi odpowiedź.
M-AILABS_pol_000490	saragossie_08_f000126	Ze swej strony Antonino uwiadomiony o wszystkim przez Mora podwoił zalecanki do Sylwii i przybrał minę zadowoloną która dała mi do zrozumienia że jest szczęśliwy.
M-AILABS_pol_000491	lalka_3_14_f000143	- Sam mi radziłeś ażebym nie trzymał pustego lokalu.
M-AILABS_pol_000492	lalka_2_11_f000086	Ha! ha! czyś pan dopiero dzisiaj zrobił tak piramidalne odkrycie? Ha! ha! podoba mi się ten starzec!
M-AILABS_pol_000493	lalka_2_10_f000045	Należy to jednak robić ostrożnie gdyż W-ny Wokulski z niewiadomych mi powodów nie życzy sobie ażeby o jego nabytku mówiono.
M-AILABS_pol_000494	saragossie_62_f000034	Widnokrąg niebios zawsze rozpięty nad naszymi głowami świeżość jaskiń i lasów woń powietrza kryształy wód
M-AILABS_pol_000495	lalka_1_07_f000130	Ach Floro nie pocieszaj mnie nie kłam!... Czyżeś nie słyszała przy obiedzie że nawet tych kilkanaście rubli które ma obecnie mój ojciec są wygrane w karty od.
M-AILABS_pol_000496	saragossie_10_f000007	Wstałem i udałem się za pustelnikiem. W istocie znalazłem Paszeka w daleko lepszym stanie a twarz jego wydała mi się mniej odrażająca.
M-AILABS_pol_000497	saragossie_50_f000083	Po pracy grał w pelotę z chłopcami z sąsiedztwa wypijał filiżankę czekolady i szedł spać. Niedzielę spędzał poza domem obmyślając pracę -na następny tydzień.
M-AILABS_pol_000498	lalka_3_06_f000060	- Mamo ja już spać chcę - odezwała się Helunia.
M-AILABS_pol_000499	saragossie_25_f000112	Z początku wyrazy te wydały mi się niedorzeczne ale głębiej się zastanowiwszy powziąłem myśl że zapewne chciała mnie zapytać o formułę ogólną
M-AILABS_pol_000500	saragossie_59_f000098	Cóż powiesz? Nie zmieniły one w niczym mego sposobu myślenia.
M-AILABS_pol_000501	lalka_2_25_f000096	akurat zetknąłem się z panem Starskim który z przeciwnego końca alei szedł ku naszej stronie.
M-AILABS_pol_000502	saragossie_30_f000357	Nie mówmy - rzekłem - o tych królestwach które słońce oświeca jesteśmy teraz sam nie wiem w jakiej otchłani ale jakkolwiek graniczymy z piekłem.
M-AILABS_pol_000503	saragossie_46_f000014	W trzydziestym roku życia pragnie popularności później szacunku i poważania.
M-AILABS_pol_000504	lalka_2_24_f000229	Bardzo ładne towarzystwo! Społeczność wytwarza niekiedy ciekawe produkta...
M-AILABS_pol_000505	lalka_1_11_f000213	Pan mnie widział?
M-AILABS_pol_000506	lalka_1_16_f000080	Jestem piramidalnie głupi - pomyślał.
M-AILABS_pol_000507	lalka_2_24_f000201	Nie wiem pani. To sprawa uczuć osobistych - odparł.
M-AILABS_pol_000508	lalka_2_22_f000073	Ale wdowy nie na wszystko pozwalają. Nie panie Starski pan musi oduczyć się swoich japońskich zwyczajów.
M-AILABS_pol_000509	lalka_2_14_f000078	Owszem panie! - odpowiedziałem mu z grzecznym ukłonem myśląc w głębi duszy że nie godzi się jednak wyrzucać takiego oryginała.
M-AILABS_pol_000510	saragossie_32_f000060	Obawa naszego przybycia do Jerozolimy bezustannie go dręczyła.
M-AILABS_pol_000511	lalka_1_11_f000241	U nas tak zawsze. A jeszcze jak usłyszą że tamten pan ma pieniądze to powiedzą że ich okradłam i narachują ile im się podoba.
M-AILABS_pol_000512	saragossie_10_f000055	Nadto bez pomocy ołówka mogliśmy rozłożyć litery każdego wyrazu wedle wszelkich zasad oznaczonych prawidłami kabalistyki.
M-AILABS_pol_000513	saragossie_22_f000078	Drogi Hiskiasie oto są banany przywiezione z Indii przez tych samych kupców z Serendib od których otrzymałeś twoje klejnoty.
M-AILABS_pol_000514	saragossie_11_f000034	Wtedy znowu spojrzałem i znowu jak najwyraźniej poznałem moje kuzynki. Zdało mi się że one także mnie poznały gdyż wybuchnęły głośnym śmiechem i uciekły do namiotów.
M-AILABS_pol_000515	lalka_1_14_f000229	Jak ja to wszystko ruszę jak ja to przeniosę Boże miłosierny!... - myślałem.
M-AILABS_pol_000516	saragossie_20_f000182	Sprowadził z Paryża sławną zalot-nicę nazwiskiem Lajardin Blanka zaś oddaliła się do klasztoru.
M-AILABS_pol_000517	lalka_3_11_f000105	- Moje długi niech panią nie interesują - odparł tonem głębokiego przekonania.
M-AILABS_pol_000518	lalka_3_09_f000065	Wokulski za dziesięć lat mógłby być milionerem i potęgą w tym kraju ale ponieważ związał losy swoje z panną Łęcką więc sprzedał sklep doskonale procentujący rzuci spółkę wcale niegorszą od sklepu a potem strwoni majątek.
M-AILABS_pol_000519	saragossie_33_f000164	Następnego roku biedny Livardez umarł i Sancho Moro napisał mi że znalazłszy w papierach dowód jako wuj jego umieścił u mnie milion prosi o zwrot tego kapitału.
M-AILABS_pol_000520	lalka_3_22_f000141	Więc stary zebrał manatki po dwu swoich żonach i przyjechał na wieś do hrabiny... do ciotki panny Izabeli u której mieszkała wraz z ojcem.
M-AILABS_pol_000521	saragossie_30_f000073	Przedstawiłam ci ów okres nieziemskiej szczęśliwości; nie trwał on długo gdyż szczęście tak wielkie jak nasze zapewne nie może spotykać ludzi za życia.
M-AILABS_pol_000522	lalka_1_05_f000178	Oto panna Izabela nigdy nie była zakochaną. Przyczyniał się do tego jej chłodny temperament wiara że małżeństwo obejdzie się bez poetycznych dodatków
M-AILABS_pol_000523	lalka_2_22_f000115	Wokulski wyjrzał oknem. Przed nim rozciągał się trawnik ozdobiony kępami starych świerków modrzewi lip poza któremi daleko było widać lesiste wzgórza.
M-AILABS_pol_000524	saragossie_16_f000049	Biesiada nasza nie była ani długa ani wesoła. Gdy zebrano ze stołu ciotka moja obróciła się do nieznajomej damy i rzekła:
M-AILABS_pol_000525	lalka_2_10_f000013	Zapieczętowała list i wyszła z nim do przedpokoju ażeby wyprawić czekających tam żydów.
M-AILABS_pol_000526	saragossie_36_f000161	Młoda kobieta przypatrzywszy mi się bliżej poznała swoją omyłkę ja zaś zrozumiałem że nie jestem tym którego oczekiwała.
M-AILABS_pol_000527	saragossie_30_f000037	dlatego też prawie ciągle byliśmy razem podczas gdy inni przyjaciele mego ojca zajmowali się z nim sprawami państwa.
M-AILABS_pol_000528	lalka_1_04_f000154	Wówczas przyszło mi na myśl że tak daleko jestem od domu że dziś ostatnim między mną i wami łącznikiem są tylko te gwiazdy że w tej chwili u was może nikt nie patrzy na nie nikt o mnie nie pamięta nikt!
M-AILABS_pol_000529	lalka_2_07_f000096	Przepreszem.
M-AILABS_pol_000530	lalka_1_20_f000132	Słówko panie baronie - rzekł.
M-AILABS_pol_000531	saragossie_49_f000101	Hervas nie znając powodu swej kary zamknięty w Wieży Segowskiej pozbawiony piór i atramentu nie wiedząc
M-AILABS_pol_000532	saragossie_07_f000092	Znalazłem się na dachu usłyszałem raz jeszcze głos majstra który mnie wołał ale nie uważałem za potrzebne odpowiadać.
M-AILABS_pol_000533	lalka_2_15_f000150	Pani Stawska zasłoniła twarz chustką i wybiegła do swego pokoju.
M-AILABS_pol_000534	lalka_1_10_f000165	Błazeństwo... - przerwał Mraczewski włożywszy ręce w kieszenie. - Będę czytał broszury które chcą zniszczyć rodzinę wiarę i własność!
M-AILABS_pol_000535	lalka_2_26_f000091	Siła i praca są jedynemi przywilejami na tym świecie.
M-AILABS_pol_000536	saragossie_56_f000074	Przed kilku dniami doniesiono mi że dwór zaczął wypytywać się o nią w klasztorze; wieść ta napełniła mnie niepokojem postanowiłam więc sprowadzić ją do Madrytu.
M-AILABS_pol_000537	lalka_1_02_f000087	Ależ panie ależ przepraszam!... tłómaczył się odurzony gość.
M-AILABS_pol_000538	lalka_2_06_f000001	Po nocy fatalnie spędzonej Rzecki obudził się dopiero o trzy kwadranse na siódmą.
M-AILABS_pol_000539	saragossie_26_f000014	Złączyłem się z karawaną ale nie uważałem za potrzebne zdawać sprawy z mego spotkania.
M-AILABS_pol_000540	saragossie_50_f000042	prawo karne w п'pięćdziesiąt trzy. prawo państwowe w п'pięćdziesiąt cztery. historię w п'pięćdziesiąt pięć.
M-AILABS_pol_000541	lalka_2_26_f000165	Możebyście tam jutro pojechali. Okolica ładna są ruiny zamku... Moglibyście bardzo przyjemnie czas przepędzić i zrobić coś z tym kamieniem nagrobnym.
M-AILABS_pol_000542	lalka_2_13_f000141	Nie miała baba kłopotu.
M-AILABS_pol_000543	lalka_2_21_f000180	Bo to dworskie grunta a pan zna przysłowie: na dworskiem polu dużo stert na chłopskiem dużo ludzi.
M-AILABS_pol_000544	saragossie_10_f000048	Ojciec mój sporządziwszy mój horoskop przejęty był radością gdy ujrzał że przyszedłem na świat w momencie gdy słońce przechodziło w znak Panny.
M-AILABS_pol_000545	lalka_3_11_f000118	Niektórym z wierzycieli robiła impertynencye wobec innych płakała prawie wszystkim odtrącała jakieś sumy na rachunek lichwiarskich procentów. Irytowała się ale płaciła.
M-AILABS_pol_000546	lalka_2_16_f000011	Potem wzięto od niego paszport potem zjadł śniadanie kupił nowy bilet kazał przenieść rzeczy do innego pociągu i ruszyli dalej.
M-AILABS_pol_000547	saragossie_21_f000083	Prałat ten siedział w fotelu naprzeciwko wicekróla.
M-AILABS_pol_000548	saragossie_53_f000027	Jej oddanie wydało się jej mniej występne. Tak wielkie dobrodziejstwo zupełnie ją we własnych oczach rozgrzeszało. Nowe rozkosze zajęły nam wszystkie chwile.
M-AILABS_pol_000549	saragossie_33_f000124	Bracia Moro słusznie używają powszechnego szacunku i zapewne dziwisz się ostatnim moim słowom ale przestaniesz się dziwić skoro się dowiesz jakie zarzuty dom nasz im stawia.
M-AILABS_pol_000550	lalka_3_10_f000040	- To właśnie będzie interesować się takim który ją lekceważy.
M-AILABS_pol_000551	lalka_2_26_f000166	Wiesz co - dodała staruszka wzdychając - namyśliłam się... Nietrzeba rozbijać kamienia pod zamkiem. Zostaw go tam tylko kaź wyryć na nim te wiersze:
M-AILABS_pol_000552	saragossie_22_f000025	Tymczasem wojna domowa wybuchła we wszystkich częściach państwa rzymskiego.
M-AILABS_pol_000553	lalka_3_20_f000150	to inna kwestya ale że coś w tem jest - niema wątpliwości... Zresztą szukając kamienia filozoficznego znaleziono chemię; kto zatem wie co się napotka teraz?... W rezultacie wszystko mi jedno byle wydobyć się z tego błota.
M-AILABS_pol_000554	saragossie_53_f000007	Nasze myśli karmiły się występnymi wspomnieniami a nasza niemoc miała swój grzeszny urok.
M-AILABS_pol_000555	saragossie_08_f000033	Testa-Lunga zapytał com za jeden.
M-AILABS_pol_000556	saragossie_27_f000178	Pójdź senora. za mną wszystko jest już przygotowane do twego wyjścia z klasztoru.
M-AILABS_pol_000557	saragossie_48_f000042	Zastanowił się nad chorym pokiwał głową po czym dodał że w tej chwili za nic nie może ręczyć że jednak pozostanie przez całą noc przy Suarezie i że nazajutrz będzie w stanie udzielić ostatecznej odpowiedzi.
M-AILABS_pol_000558	lalka_1_03_f000106	Precz mi ztąd pijaki!
M-AILABS_pol_000559	saragossie_33_f000123	Idzie tu o to abyś nigdy nie wchodził w żadne związki z domem braci Moro bankierów królewskich.
M-AILABS_pol_000560	lalka_3_10_f000097	Pomimo znajomości trwającej ledwie kilka godzin Molinari żywo zainteresował pannę Izabelę.
M-AILABS_pol_000561	lalka_3_04_f000016	Oj jakież mnie smutne myśli opanowały: A jeżeli sąd nie uwierzy nam boć przecie omyłki są możliwe i jeżeli tę najszlachetniejszą kobietę wtrącą do więzienia choćby na tydzień choćby na jeden dzień - cóż wtedy?
M-AILABS_pol_000562	lalka_2_26_f000015	Pan jeździł balonem? - zapytała panna Felicya. Balonem pana Ochockiego? Nie prawdziwym.
M-AILABS_pol_000563	saragossie_35_f000114	który od czasu mego przybycia do Madrytu jak zły duch ciągle mnie ściga.
M-AILABS_pol_000564	lalka_3_04_f000108	- Pierwszy raz widzę coś podobnego! - rzekł nasz adwokat.
M-AILABS_pol_000565	lalka_2_10_f000089	Boże! dlaczego on nie przychodzi.
M-AILABS_pol_000566	saragossie_07_f000147	Wszelako Lettereo wziął go na cel przyrzekając zabić każdego kto okaże chęć zejścia na pokład.
M-AILABS_pol_000567	saragossie_08_f000047	Tyle sławy nie uczyniło mnie nieczułym na rozrywki właściwe memu wiekowi.
M-AILABS_pol_000568	lalka_3_23_f000164	a kiedy przyszedł Kazimierz zapowiedział mu ażeby nigdy nie puszczał tu Szlangbauma.
M-AILABS_pol_000569	lalka_2_08_f000151	Kupiec! Także mi mów! - zawołał pan Tomasz. - Dzięki tobie przekonałem się że wyraz: kupiec jest dziś synonimem wielkoduszności delikatności bohaterstwa... Zacny!
M-AILABS_pol_000570	saragossie_16_f000116	gdzie był z odwiedzinami o niczym nie mówił jak tylko o piękności Elwiry nazajutrz zaś doniesiono nam że zamówił czterdzieści ciemnych liberii wyszywanych złotem i czarnym jedwabiem.
M-AILABS_pol_000571	lalka_3_14_f000072	- Nie panie. Bo on ma to czego pan nie masz i mieć nie będziesz - rzeki Lisiecki bijąc się w piersi.
M-AILABS_pol_000572	lalka_1_09_f000060	Kiedy nareszcie dostał się do uniwersytetu - prześladowano go porcyami które niedawno podawał gościom.
M-AILABS_pol_000573	saragossie_36_f000047	kuglarze podają się za kapłanów Izydy porzucono już dawną cześć bogini opustoszały jej świątynie i kadzidła przestały dymić na Jej ołtarzach.
M-AILABS_pol_000574	saragossie_06_f000147	Następnie udał się do Montalta i oświadczył mu że jego nieprzyjaciel już nie żyje.
M-AILABS_pol_000575	saragossie_36_f000016	Naprzód bądźcie przekonani że gdybyście nawet zostali wtajemniczeni nie bylibyście mędrszymi co do początków naszej mitologii.
M-AILABS_pol_000576	lalka_2_03_f000048	Już zesłał najlepsze - rzekł Wokulski myśląc o pannie Izabeli.
M-AILABS_pol_000577	lalka_1_03_f000097	P. Raczek ledwie oddychał a p. Domański z trudnością trzymał się na nogach podobno z tego że nasze schody były bardzo niewygodne.
M-AILABS_pol_000578	saragossie_52_f000113	Nasłuchiwałem chwilę a potem wszedłem do środka. Celia spostrzegłszy mnie rzekła:
M-AILABS_pol_000579	saragossie_59_f000074	Wierzaj mi że więcej niż możesz sobie wyobrazić cierpię z powodu tej konieczności ukrywania jej przed światem.
M-AILABS_pol_000580	saragossie_65_f000103	Po raz pierwszy w życiu ujrzałem miasto chrześcijańskiej zdziwiła mnie wolność kobiet i zgorszony byłem lekkomyślnością mężczyzn.
M-AILABS_pol_000581	saragossie_02_f000208	Wiadomość ta gromem nas raziła. Naprzód nie mogłyśmy słowa jednego wymówić później nieszczęście tego rozdzielenia tak żywo stanęło nam przed oczyma żeśmy się oddały najgwałtowniejszej rozpaczy.
M-AILABS_pol_000582	saragossie_28_f000109	Ale bynajmniej nie okazałam mu wzajemności. Zresztą byłam jeszcze zbyt młoda i zbyt doń przyzwyczajona aby jego nadzwyczajna piękność mogła sprawić na mnie jakiekolwiek wrażenie.
M-AILABS_pol_000583	lalka_2_16_f000043	Jedziem wciąż Lafayettem aż do hotelu przy Operze. Powiadam tobie cud nie miasto! No a jak zobaczysz Elizejskie pole a potem między Sekwaną i Rivoli...
M-AILABS_pol_000584	lalka_2_26_f000037	Ochocki zamyślił się i patrzył przed siebie niewiadomo naco... Parę razy zdawało się że chce wyskoczyć z breka i że go drażni towarzystwo w którem też zapanowała cisza.
M-AILABS_pol_000585	lalka_1_20_f000073	Spojrzał po obecnych. Prezesowa była wesoła hrabina uśmiechnięta pan Łęcki promieniejący.
M-AILABS_pol_000586	lalka_2_14_f000006	Trzy łóżka. Na jednem z książką w ręku i nogami opartemi o poręcz leży jakiś młody człowiek z czarnym zarostem i w studenckim mundurku;
M-AILABS_pol_000587	lalka_3_06_f000107	- Otóżto!... Cała rzecz w tem ażeby pani Stawska nie opierała się.
M-AILABS_pol_000588	saragossie_44_f000055	Czymże jest reszta życia wobec tych dni spędzonych między świeżym wspomnieniem słodkich przeżyć a zwodniczymi złudzeniami na przyszłość
M-AILABS_pol_000589	lalka_3_13_f000103	- Płacz wielmożny panie!... - mówił nachylając się nad nim... Płacz wielmożny panie i wzywaj boskiego imienia... Nie będziesz go wzywał nadaremnie... Kto się w opiekę poda Panu swemu
M-AILABS_pol_000590	saragossie_17_f000077	Mąż opowiedział mi treść bezimiennego listu; doszliśmy do wniosku że wieśniak z Villaca musiał być przebranym kochankiem.
M-AILABS_pol_000591	lalka_1_06_f000095	Nie wykupiła ich Krzeszowska - rzekła - to wiem napewno. Więc - albo ciotka Hortensya albo.
