M-AILABS_ukr_000211	zvirobij_s004500	Прямокутно обтесані з трьох боків, ці колоди мали на кінцях великі шипи.
M-AILABS_ukr_000406	15YO_Capitan_s004779	Якось, коли його добряче вкусив москіт, він тільки здув його, чемно мовивши: Прошу, йдіть собі! Світ досить великий для вас і для мене!
M-AILABS_ukr_000407	voly_28_f000290	Як підняли платок, - Максима уже не було. Мука застигла у його на лиці, виглядала широко розкритим, скривленим ротом, витріщеними очима.
M-AILABS_ukr_000408	chorna_rada_s000228	Гарбуза? Ні, не гарбузом тут пахне, коли сама дала війтенкові каблучку.
M-AILABS_ukr_000409	fata_morgana_s001431	Пан втік, а панича Льольо на насіння лишили. Нехай курить, пане добродзею, горілку. Хе-хе! Хома сердито сапав:
M-AILABS_ukr_000410	zahar_berkut_s002453	Вартові при вході табору дикими голосами перекликалися з вартовими, що вели боярина з донькою, а потім переняли незвичайних гостей і повели їх до шатра своїх начальників.
M-AILABS_ukr_000411	chorna_rada_s002143	не раз-бо в такому одноборстві падали перед їм обидва разом.
M-AILABS_ukr_000412	fata_morgana_s001252	Такий кумедний! Марко взяв її руку в свою.
M-AILABS_ukr_000413	voly_08_f000016	У хаті була піч, де можна зварити їсти та погрітися; одним одно віконечко - мале, як оддушина у бджоляниках, виглядало збоку на шлях.
M-AILABS_ukr_000414	transformations_s000276	Ви, очевидно, не бачили останніх замовлень, які я прислав.
M-AILABS_ukr_000415	fata_morgana_s000304	Плату йому давай більшу, роботи йому багато, бач. Начальство йому одно, а він йому друге.
M-AILABS_ukr_000416	15YO_Capitan_s002047	Коли до якоїсь із ангельських факторій, то це забере кілька днів; коли ж у глиб Екваторіальної Африки, то їм ще треба подолати кількасот миль.
M-AILABS_ukr_000417	fata_morgana_s000425	Бити! Палити!
M-AILABS_ukr_000418	fata_morgana_s000290	Сидите собі? З неділею будьте.
M-AILABS_ukr_000419	zvirobij_s007394	Я такий, який є.
M-AILABS_ukr_000420	voly_06_f000166	сюди тікала. а це, видно, недавно ходила, бо свіжий слід.
M-AILABS_ukr_000421	fata_morgana_s001930	У Підпари під образами горіла лампадка. Святочний настрій спливав з богів і ліг на обличчя Підпари. Він говорив поволі, важко, наче одраховував гроші,
M-AILABS_ukr_000422	mykola_djerya_s000945	Сонце високо підбилось вгору; надворі стало душно. Микола з Нимидорою врізався в високе густе жито, як у ліс, і почав з нею розмовлять; він признавсь,
M-AILABS_ukr_000423	mykola_djerya_s000689	Я вночі сплю, і як ти мені приснишся, то душа моя аж звеселиться й заграє, як ластівка на сонці. Прокинуся, тебе нема, - і моє серце знов замирає.
M-AILABS_ukr_000424	voly_27_f000207	платіть за неї викупні. а ми розкинемо розумом та ще щось придумаємо.
M-AILABS_ukr_000425	zvirobij_s002038	Джудіт та її сестра становили в цьому розумінні виняток серед дівчат їхнього кола.
M-AILABS_ukr_000426	15YO_Capitan_s004730	Ті привітали його з успіхом. Щоправда, дізнавшись про загибель двохсот п'ятдесяти невільників, Алвіш скривився.
M-AILABS_ukr_000427	voly_20_f000212	- Ну, то що! - витріщивсь на неї Грицько, ображений, чого вона заступається за таких злодіїв, що в його свердла покрали. - То крав би? га? Хай уже б мені руки тоді повикручували!
M-AILABS_ukr_000428	chorna_rada_s001572	У нас, панове, поки козак не випишеться з коша чи з куреня, то слухай січової старшини так, як ігумена. Знюхайсь тоді, коли хоч, з бабою, то знатимеш, почім ківш лиха!
M-AILABS_ukr_000429	chorna_rada_s000337	Покинь тепер усіх Череванівен, синку! - каже понуро Шрам. - Нехай хапають кого хотя. Рушай за мною; нам тут нема більш діла: закльовала ворона нашого сокола!
M-AILABS_ukr_000430	voly_18_f000145	- Ну-ну. гляди! Бац, і півкварти випили.
M-AILABS_ukr_000431	fata_morgana_s000489	Всі слухали мовчки і затаївши дух.
M-AILABS_ukr_000432	voly_12_f000232	- А пошто я дам?
M-AILABS_ukr_000433	15YO_Capitan_s003533	Поки що ми успішно торгуємо і з Верхнім Єгиптом та Мозамбіком, який постачає невільників на Мадагаскар.
M-AILABS_ukr_000434	15YO_Capitan_s002864	Яка ще лихіша доля спонукала нещасного капітана Халла, такого обережного й завбачливого, вирушити на полювання заради того, щоб довантажити трюми?
M-AILABS_ukr_000435	voly_24_f000047	- А той, що ти в мій вложила, як забув свого.
M-AILABS_ukr_000436	zvirobij_s001988	яке хлопець зберіг з побожною пошаною, вважаючи, що воно від великого батька, котрий живе по той бік Широкого Солоного Озера.
M-AILABS_ukr_000437	fata_morgana_s001073	Гафійка покинула горщик, вхопила книжку і, вся червона, з очима, повними сліз, прожогом вибігла в сіни. Андрій перевів здивований погляд на Маланку.
M-AILABS_ukr_000438	zahar_berkut_s002205	Ні, таточку!-говорила Мирослава.-Княжа поміч злого не направить, а тілько ще дужче прогрішить.
M-AILABS_ukr_000439	chorna_rada_s000863	Леся поблагословилась і піднесла. І що то вже, як хороше вдасться! Чи заговорить, чи рукою поведе, чи піде по хаті - усе не так, як хто інший:
M-AILABS_ukr_000440	voly_25_f000049	В той час уже добре смеркалося. Вони поздоровкались з москалями і швиденько поминули їх. Коли це - щось ударило Чіпку ззаду по плечі.
M-AILABS_ukr_000441	zvirobij_s001582	І гуроми оце пустили вас одного, без ніякого нагляду й варти? Звісно, бо ж я не міг би сюди з'явитися, хіба що зумів би вирватися силою або обхитрувати їх.
M-AILABS_ukr_000442	zvirobij_s007908	Якщо тобі здалося, ніби я гуронська дівчина, воїне, - сказала вона, - тоді мені не дивно, чого ти сердишся.
M-AILABS_ukr_000443	transformations_s000784	Будемо сподіватися, що хвороба його безпечна.
M-AILABS_ukr_000444	zahar_berkut_s001066	Він поучав монголів, як треба нападати і не розсипатися за першим ударом противника, але бігти по трупах дальше. Тимчасом і Максим поучав своїх молодців,
M-AILABS_ukr_000445	fata_morgana_s000076	Хіба я знаю? Калікою став. Збери мої пальці.
M-AILABS_ukr_000446	kaydasheva_s001288	З горшка й справді стриміла здорова перебита півняча нога з товстою гулею посередині і з одним одрубаним кігтем. Не сказавши нікому й слова, Мотря вхопила півня за ногу,
M-AILABS_ukr_000447	kaydasheva_s000866	Сини й невістки бачили, що батько п'яненький, і почали над ним глузувать. Кайдашиха вийшла з хати й почала його лаять.
M-AILABS_ukr_000448	chorna_rada_s002129	Ні, мабуть,- одвітовав сотник Юско,- бо, каже бурмистер, попившись, запорожці і на Васюту похвалялись да й на всю городову старшину недобрим духом дишуть,
M-AILABS_ukr_000449	zvirobij_s001720	Мис, до якого правувала Гетті, з цього боку озера вганявся далеко у воду.
M-AILABS_ukr_000450	15YO_Capitan_s003804	Муана не виказала ніякого невдоволення поводженням чаклуна. Навпаки, вона скривила обличчя в гримасі, що мала означати милостиву усмішку.
M-AILABS_ukr_000451	15YO_Capitan_s003529	Він щось тихо сказав своїм товаришам, і всі вони стали пильно стежити за юнаком.
M-AILABS_ukr_000452	chorna_rada_s000699	Амінь? Ні, ще сьому ділу не скоро скажуть амінь! Ось слухайте лиш.
M-AILABS_ukr_000453	zvirobij_s007233	Але одна фраза, від якої не втрималась мати, пояснила Джудіт причину, що штовхнула її, тобто матір, на заміжжя з Гові чи Гаттером;
M-AILABS_ukr_000454	15YO_Capitan_s003730	Том приніс лаг, міцно прив'язаний до ліня, й опустив за борт. Але щойно він витравив ярдів із двадцять п'ять, як лінь послаб у його руках.
M-AILABS_ukr_000455	zvirobij_s004275	Не треба плисти до замку, - чітко сказав Чингачгук, тільки-но співрозмовник дав йому змогу вкинути слово.
M-AILABS_ukr_000456	tini_zabutyh_predkiv_s000161	стиха обізвалась до нього Марічка.
M-AILABS_ukr_000457	voly_19_f000063	- А оце вашого, Мотре, повели у волость. або й не повели, а він повів. Сам уперед іде, а ззаду голова з соцькими. А він їм щось так вичитує, так вичитує!
M-AILABS_ukr_000458	zvirobij_s006891	Але з західного боку виступав невеличкий клин низини, що наполовину звужував річище.
M-AILABS_ukr_000459	zvirobij_7_s004718	та ще такого ворога, як індіяни, з усією їхньою хитрістю і підступністю.
M-AILABS_ukr_000460	chorna_rada_s000015	Рад я йому з щирого серця,- каже Шрам, пошли йому, господи, щасте й долю; тілько ж не та пора тепер, щоб гуляти напідпитку.
M-AILABS_ukr_000461	chorna_rada_s000303	Ой, згадай мене, моя стара нене,
M-AILABS_ukr_000462	zahar_berkut_s000067	а тоді ввійдемо до тісного, поміж підземні скали проробленого хідника, який виведе нас аж на гору, просто на Ясну поляну, там, де ти недавно бачив мойого батька.
M-AILABS_ukr_000463	zvirobij_7_s000297	Після деяких попередніх пояснень троє чоловіків зосереджено взялися до роботи, щоб зрушити ковчег з місця.
M-AILABS_ukr_000464	15YO_Capitan_s003133	Кілька солдатів кинулись до Остіна, і він був би дорого заплатив за свій гнівний порив, якби Алвіш жестом не спинив їх.
M-AILABS_ukr_000465	chorna_rada_s000724	І отеє тобі одогрівати таку гадюку!
M-AILABS_ukr_000466	zvirobij_s004238	З півхвилини точилася відчайдушна боротьба, що нагадувала борсання алігатора, який схопив здобич собі не до снаги.
M-AILABS_ukr_000467	voly_10_f000025	Ще генеральша в дорозі, а вже Потапович цілі Піски зганяє: муштрує хохліков, як треба гаспажу зустрічати.
M-AILABS_ukr_000468	mykola_djerya_s000446	Через тиждень Нимидорі знов приснився сон, ніби вона блукає з Миколою вночі по якомусь широкому степу. Все небо вкрите чорними хмарами. Надворі душно,
M-AILABS_ukr_000469	zvirobij_s007646	Непохитна твердість юнака, особливо наостанку, перед цілим гуртом кидальників,
M-AILABS_ukr_000470	zvirobij_s002714	що дасть змогу дізнатися, хто я така, й допоможе пояснити сни мого дитинства.
M-AILABS_ukr_000471	kaydasheva_s001392	Син не слухав батька.
M-AILABS_ukr_000472	voly_01_f000020	Ніс невеличкий, тонкий, трохи загострений; темні карі очі - теж гострі; лице довгобразе - козаче; ні високого, ні низького зросту, - тільки плечі широ і, та груди високі.
M-AILABS_ukr_000473	fata_morgana_s000332	Ось апаратна. Тепла, вся завита в залізні труби, колеса, машини, наче нутро живота, вона тряслась, як в трясці, і блискавично мигтіла широким пасом.
M-AILABS_ukr_000474	voly_04_f000068	От уже й овець позгонили до гурту.
M-AILABS_ukr_000475	zahar_berkut_s000255	які важкі і великі діла чекають сьогодні нашого громадського розсуду.
M-AILABS_ukr_000476	zvirobij_s003385	Гаррі Непосида збирається покинути нас.
M-AILABS_ukr_000477	15YO_Capitan_s000807	Чоловіків, жінок і дітей царкипереможці продавали работоргівцям за клапоть коленкору, за жменю пороху, за рушницю, за рожеве або червоне намисто, а в голодні роки навіть за жменьку маїсу, як свідчить Лівінгстон.
M-AILABS_ukr_000478	15YO_Capitan_s000075	Часом здалеку долинало жалібне виття. Гарріс сказав, що то лінивець, досить поширений у цих лісових районах.
M-AILABS_ukr_000479	chorna_rada_s000636	Ну, куди ж,- каже,- отеє ти ідеш?
M-AILABS_ukr_000480	zvirobij_s003928	Вітрило, мов крило, несе мене в самотині.
M-AILABS_ukr_000481	15YO_Capitan_s003934	Небо вкрили великі грозові хмари. На заході між деревами далеко на обрії спалахували блискавиці.
M-AILABS_ukr_000482	zvirobij_s000792	Чингачгук, таке дерево не росте в лісах, які ми з тобою не раз сходили.
M-AILABS_ukr_000483	kaydasheva_s000501	Чи тут той лев, що з рота в його тече вода? - спитала Мелашка.
M-AILABS_ukr_000484	chorna_rada_s000912	Чим же то, чим тії запорожці так припадали до душі всякому? Може, тим, що вони безпечне, да разом якось і смутно дивились на божий мир.
M-AILABS_ukr_000485	zahar_berkut_s001819	Сонце сходило, але гілля смерек і сусідні горби заслонювали його вид. По короткім віддиху Максим почав розставляти ловців у два ряди так, аби вповні обсадити плай.
M-AILABS_ukr_000486	voly_19_f000169	- А вашому. чого журитись?
M-AILABS_ukr_000487	zvirobij_s007716	Відпустка - це значить дозвіл залишити табір чи гарнізон на певний, точно визначений час.
M-AILABS_ukr_000488	mykola_djerya_s001238	Яка ти, дівчино, безталанна! - тихо промовив Микола. -Чи довго ж ти служила в того чоловіка?
M-AILABS_ukr_000489	15YO_Capitan_s001563	Однак Алвіш побоювався, що підданці не визнають її і один з претендентів, володар сусідніх земель Укусу, нападе на землі МуаніЛунга.
M-AILABS_ukr_000490	15YO_Capitan_s000638	Кузен Бенедикт аж ніяк не міг діяти в змові із кимсь чужим. Найпевніше, що він випадково знайшов кротовий хід і втік, навіть не подумавши про своїх супутників, начебто їх і на світі не було.
M-AILABS_ukr_000491	chorna_rada_s001951	Він же виходить у одні двері, а Кирило Тур входить у другі. Увійшов і зараз запер двері. Гляне, посвічуючи по глибці каганцем, аж у кутку сидить на голому ослоні Сомко.
M-AILABS_ukr_000492	chorna_rada_s001835	Дивітеся,- каже,- люде: так як сей Каїн довіку-вічного нестиме на плечах мертве братнє тіло,
M-AILABS_ukr_000493	zvirobij_s005362	Дим оддаленого вогнища свідчив про те, що там підпалюють головешки, а кілька старших воїнів мацали гостряки своїх томагавків.
M-AILABS_ukr_000494	zvirobij_s004038	На протест Звіробоя він одказав, що ірокези вже знають про присутність у замкові індіянина.
M-AILABS_ukr_000495	zvirobij_s001648	Одначе й ця хитрість зазнала невдачі: жоден звук, жодна тінь на воді не сповістили про наближення човника.
M-AILABS_ukr_000496	zvirobij_s006069	Я прозвав його Плавучим.
M-AILABS_ukr_000497	15YO_Capitan_s004179	Бандити тішитися, зустрівшися після чотиримісячної розлуки. Адже попереду - довгожданий відпочинок; можна віддатися розпусті й пиятикам.
M-AILABS_ukr_000498	zahar_berkut_s001587	Від самого досвіта в ловецькім таборі великий рух і тривожне дожидання. Боярські слуги від півночі звивалися, приготовляючи для гостей їду на цілий день,
M-AILABS_ukr_000499	15YO_Capitan_s004659	Говіку! Говіку! - гукнув капітан Халл, ледве встоявши на ногах. Я тут, капітане! - відповів боцман, підводячись.
M-AILABS_ukr_000500	chorna_rada_s000939	Е, пек же його матері! закричало десягеро разом.- Так ми тілько тоді кунпанія кармазинам, як треба виручати їх із-під кормиги лядської?
M-AILABS_ukr_000501	voly_11_f000194	- Що ж він?
M-AILABS_ukr_000502	fata_morgana_s000802	Що ж тепер діять?
M-AILABS_ukr_000503	voly_23_f000147	Потяг раз, удруге, - осіяли сіни, й важкий дим потягся невеличкими мотузочками, закручуючись угорі, мішаючись з темрявою.
M-AILABS_ukr_000504	15YO_Capitan_s004588	Упевненість молодого капітана передалася всім, хто був у каюті, навіть місіс Велдон.
M-AILABS_ukr_000505	zvirobij_s003329	аби вони завдали його на такі тортури, котрі прискорять йому смерть.
M-AILABS_ukr_000506	chorna_rada_s002680	Так не бере ж бо ніхто, та й годі! Ходімо, бгате, в світлицю; нехай вони тут собі пораються. Жіноча річ коло печі, а нам, козакам, чарка та шабля.
M-AILABS_ukr_000507	kaydasheva_s000762	Понад Россю над самим берегом росли довгими рядками верби та лози. На одному камені під вербою сиділа Мелашка. Лаврін углядів її голову з вінком квіток.
M-AILABS_ukr_000508	zvirobij_s001182	Якщо ви маєте стати жертвою нашої сміливості, тоді всім нам слід було б говорити стриманіше.
M-AILABS_ukr_000509	tini_zabutyh_predkiv_s000754	Нетерплячі дроб'єта, яким прибува молоко, пруться з загороди у струнку, щоб їх швидше здоїли. Але ж бо почекайте, сараки, бо так не йде. Лиш по одній.
M-AILABS_ukr_000510	fata_morgana_s000270	Не журись, жінко, ось поставлять фабрику, тоді зароблю дещо.
M-AILABS_ukr_000511	zvirobij_s006618	Уатауа повернулася на свій сінник, а Чингачгук поклався спати на носі баржі.
M-AILABS_ukr_000512	kaydasheva_s000306	Тісто в діжі аж запищало і неначе заплямкало губами під її руками. Мелашка знала, що не вгодила свекрусі, і стояла ні в сих ні в тих серед хати та дивилась на замазані руки.
M-AILABS_ukr_000513	zvirobij_s002703	Не дуже схоже на червоношкірого, що йде стежкою війни, - заперечив Звіробій, хитаючи головою.
M-AILABS_ukr_000514	voly_17_f000238	- Чого?
M-AILABS_ukr_000515	zvirobij_s001296	Там вони довго сиділи й радились.
M-AILABS_ukr_000516	15YO_Capitan_s003947	Легко зрозуміти, як він хвилювався: адже крізь оцю малесеньку дірочку має прохопитися повітря - і життя, або ж вода - і смерть! Раптом почувся пронизливий свист.
M-AILABS_ukr_000517	zahar_berkut_s002010	Дружинники мовчали.
M-AILABS_ukr_000518	zvirobij_s002395	А я інший, і мені коли що западе в душу, я неодмінно хочу лайнутися або заприсягтися.
M-AILABS_ukr_000519	minestreli_s000084	Найвідомішим явищем ансамблевого концертного бандурництва є, безперечно, Національна заслужена капела бандуристів України.
M-AILABS_ukr_000520	voly_02_f000099	- Недурно мені сю ніч чорна собака снилася, - похваливсь голова. - Жінка одгадувала: напасть. Так воно й є!
M-AILABS_ukr_000521	zvirobij_s004743	Я тільки переказав вам, чого домагаються гурони, але не сказав, що, на мою думку, ви повинні їм відповісти.
M-AILABS_ukr_000522	zvirobij_s003764	Багато швидше, ніж ми оповідаємо про це, вони підтягли до себе здоровезне тіло Непосиди.
M-AILABS_ukr_000523	mykola_djerya_s000436	Раз восени, перед самою покровою, Микола сидів увечері над лиманом і одпочивав після роботи. Рибалки вже полягали спать. Микола взяв скрипку й розважав себе,
M-AILABS_ukr_000524	15YO_Capitan_s004094	Отже не було тут поживи й хижакам. Уночі мандрівники вже не чули рикання левів.
M-AILABS_ukr_000525	zahar_berkut_s001515	не о те ходить, щоб тут не зловили нас, а о час, о кожду хвилю часу! Нам квапно діється.
M-AILABS_ukr_000526	zvirobij_s006918	Але гурт індіянських дівчат був, очевидячки, натхнений іншими почуттями, - дівчата крадькома позирали на нього з жалем і співчуттям.
M-AILABS_ukr_000527	kaydasheva_s000149	Лаврін взяв батька за руку й вивів у двір. Мелашка злякалась і вибігла слідком за ними. В Кайдашихи трусились ноги од переляку. Вона дістала свяченої води,
M-AILABS_ukr_000528	fata_morgana_s001671	Мовчи там, бабо!
M-AILABS_ukr_000529	zahar_berkut_s002426	Жду діл, а не слів від тебе!
M-AILABS_ukr_000530	zvirobij_s006739	Однак, щоб не уривати розмови надто різко, Джудіт відповіла на останні слова юнака так серйозно й щиро, ніби її початковий намір залишився незмінний.
M-AILABS_ukr_000531	voly_03_f000158	- І навіщо ті люди согрішили, бабо? От би тепер і мама дома була, не плакала б так часто. і хліб би був: коли здумав, їв би!
M-AILABS_ukr_000532	tini_zabutyh_predkiv_s000199	І справді ледве вернулась додому, Іван стрів її звісткою, що здохла ягничка. Але, на диво, їй анітрошки не жалко було ягнички.
M-AILABS_ukr_000533	15YO_Capitan_s004379	По краплі крові білої людини! - підказав Негору, непомітно зробивши Алвішеві знак, на який той ствердно кивнув головою.
M-AILABS_ukr_000534	voly_07_f000031	а вовка він раз сам на сам одігнав від овець. Цього навряд чи одженеш. І де воно заведеться таке! Господи ти мій милий.
M-AILABS_ukr_000535	transformations_s000045	Це йому легко вдалося, і все тіло, хоч яке було широке й важке, повільно посунулось за головою.
M-AILABS_ukr_000536	15YO_Capitan_s002976	Море ще не встигло розхвилюватися, й хитавиця була невелика.
M-AILABS_ukr_000537	15YO_Capitan_s004710	Дік Сенд міг тепер добре роздивитися його. Це був середнього зросту, міцної статури чоловік років під сорок.
M-AILABS_ukr_000538	kaydasheva_s000373	Недобрий, дочко, сьогодні зварила борщ. Мабуть, і сьогодні сало збігло, - сказала Кайдашиха.
M-AILABS_ukr_000539	zvirobij_s001216	Це так. Сумаха має один язик: вона може розказати лиш одну бувальщину.
M-AILABS_ukr_000540	15YO_Capitan_s002740	Однак шлях до бухти перегороджувала смуга рифів, що між ними нелегко буде пройти.
M-AILABS_ukr_000541	fata_morgana_s000562	Пан хита головою. Корови так і лишились в оборі. Двері в возовню стоять отвором, і чорна пустка вигляда звідти, як з беззубого рота.
M-AILABS_ukr_000542	zvirobij_s005262	Вона й Гетті, випроставшись на весь зріст, стояли в човнику, нетерпляче вдивляючись уперед і силкуючись зрозуміти,
M-AILABS_ukr_000543	kaydasheva_s001094	Ой, поганяй швидше воли! - крикнула Кайдашиха на чоловіка. - Коли б завидна вилізти з цього каторжного вулика. Буду пам'ятати, коли їздила на ці Западинці.
M-AILABS_ukr_000544	voly_16_f000041	Бували такі години, коли він, згадуючи свої вчинки та безпутне життя, сам собі думав: А може ж, воно й гріх так робити? Може, за все те оддячиться, хоч не на сім, то на тім світі! Страшно йому ставало і разом тяжко, соромно.
M-AILABS_ukr_000545	zvirobij_s001097	Але.
M-AILABS_ukr_000546	15YO_Capitan_s002102	Негри старанно виконували всі його накази. На Пілігримі панував повний порядок.
M-AILABS_ukr_000547	zahar_berkut_s001249	Аж тепер він глипнув кругом і побачив розлиту по рівнині воду.
M-AILABS_ukr_000548	15YO_Capitan_s000447	Десь за чотири тисячі п'ятсот миль місіс Велдон. Ця цифра не викликає в мене ніякого сумніву, і я можу припустити похибку щонайбільше в двадцять миль туди або сюди.
M-AILABS_ukr_000549	chorna_rada_s002370	Еге! Ти ще не знаєш сих пройдисвітів! Се, коли хочеш знати, самі паливоди!
M-AILABS_ukr_000550	15YO_Capitan_s003192	Які ж бо нестерпні страждання! Впавши, люди намагаються враз підхопитися на ноги, а навіщо?
M-AILABS_ukr_000551	15YO_Capitan_s000816	А спіймати ще встигну! Чи слушно міркував кузен Бенедикт? Хтозна.
M-AILABS_ukr_000552	fata_morgana_s001810	Між ними раптом зявилась важка, кострубата постать Хоми.
M-AILABS_ukr_000553	15YO_Capitan_s002524	Щоправда, Гарріс уже десь прочув і в розмові з Негору згадував про якогось лейтенанта Камерона: цей зухвалець має намір перетнути Африку від берега до берега - від Занзібару до Анголи.
M-AILABS_ukr_000554	fata_morgana_s001498	Вони цілувались. Сухі Маланчині руки тряслись на гладких ковалишиних боках.
M-AILABS_ukr_000555	zahar_berkut_s001396	Знов заграли роги, і обі ровти розійшлися. Ловці йшли де парами, де одинцем, то сходячись, то розходячись, щоб вишукувати дорогу.
M-AILABS_ukr_000556	voly_28_f000345	Надвечір вертався він додому вкупі з Грицьком. Вія був сумний, мовчав цілу дорогу. Грицькові аж моторошно стало, він зачепив його:
M-AILABS_ukr_000557	fata_morgana_s000080	Мусію! Ти там?
M-AILABS_ukr_000558	voly_05_f000101	- Не одбере він. ні! Хай тільки одбере. Я йому такого пущу півня!! - грізно каже Чіпка.
M-AILABS_ukr_000559	zvirobij_s003505	що вона наплодила силу дітей, - вдова Рисі, котрий, як то стало відомо, загинув од руки полоненого.
M-AILABS_ukr_000560	15YO_Capitan_s004060	У нас у Сполучених Штатах вже немає рабів, - відповіла місіс Велдон.
M-AILABS_ukr_000561	tini_zabutyh_predkiv_s000069	але раптом почув, що його голос пропав би у сих просторах, як комариний писк.
M-AILABS_ukr_000562	15YO_Capitan_s000125	Незважаючи на вкрай зменшену площу вітрил, Пілігрим і далі мчав уперед з надмірною швидкістю. дванадцять березня погода ще погіршала.
M-AILABS_ukr_000563	zvirobij_s000093	Сподіваюсь, цього не можна сказати про вашого друга Чингачгука? До речі,
M-AILABS_ukr_000564	chorna_rada_s002586	І так, як молода рабиня у старого, сивобородого турчина служить, і тремтить, і низько покланяється, так і та нещаслива княгиня, догоджаючи свойому чоловікові,
M-AILABS_ukr_000565	kaydasheva_s000305	Та вже ж бачу, не повилазило, - обізвалася Мотря затягуючи нитку в вушко.
M-AILABS_ukr_000566	kaydasheva_s000466	Настав страсний тиждень. В великий понеділок до Кайдашів зайшла баба Палажка Солов'їха. Вона була дуже богомольна і щороку їла паску в Києві в Лаврі.
M-AILABS_ukr_000567	voly_23_f000122	Незабаром усі, як побиті, поснули. Один Чіпка не спить.
M-AILABS_ukr_000568	mykola_djerya_s000655	Разом з піском летіли на всі боки баламути. Потім посипались з матні на берег здорові лакерди, плисковаті палажки, заблищали морські півні з червоними перами,
M-AILABS_ukr_000569	15YO_Capitan_s002888	За найменшу провину придворним відрізали вуха; це вважалося чи не найсуворішою карою - адже в вухах тубільці носили ножі.
M-AILABS_ukr_000570	zvirobij_s004041	коли їм треба розходитися навсебіч під час полювання та війни.
M-AILABS_ukr_000571	fata_morgana_s001799	Раджу. Однаково пропаде дівка. Наїсть, напє вдома, тобі ж гірше буде. А їй одна доля: найми. Думаєш - возьме хто бідну? Посивіє дівкою.
M-AILABS_ukr_000572	chorna_rada_s001618	Ну, вас ік нечистій матері! - каже Кирило Тур - Коли б самі постояли в стовпа, то одпала б охота обніматись!
M-AILABS_ukr_000573	15YO_Capitan_s004326	Ящик з консервами та діжка з водою, між які я заліз, годували й напували мене всю дорогу.
M-AILABS_ukr_000574	voly_23_f000200	- А ти? - питає Лушня, гостро глянувши на його.
M-AILABS_ukr_000575	zahar_berkut_s002197	Благословлю ж твоє серце! - І, сказавши се, вона розвіялася запахущим леготом, а я прокинулась. І серце моє справді заговорило, таточку, і я пішла за його голосом.
M-AILABS_ukr_000576	15YO_Capitan_s000753	Тут свердлити глину було важче - шар був товщий і твердіший. Місіс Велдон, Джек, кузен Бенедикт, залізши на горішній ярус, дивилися на Діка.
M-AILABS_ukr_000577	zvirobij_s007732	які очі мають блідолиці, Змію, і більше не датуватимешся, що вони здалеку бачать геть-чисто все на індіянській землі.
M-AILABS_ukr_000578	15YO_Capitan_s000155	Що ж, він, п'ятнадцятирічний капітан Пілігрима, не здригнеться перед колишнім коком! Ізза рогу головної вулиці винесли кітанду, покриту подертою запоною.
M-AILABS_ukr_000579	kaydasheva_s000056	На неї напав страх. Вона глянула ще раз вгору, і їй здалось, що хрести на церкві трусяться й коливаються, що коливається вся гора, от-от впаде на неї. І вона прожогом побігла з цвинтаря до хати.
M-AILABS_ukr_000580	kaydasheva_s002044	В хату ввійшов Лаврін, узяв віник і почав мести діл. Од вікон до самої печі простяглися ніби огняні стовпи, виткані з сонця та дрібного пороху, котрий ворушивсь в ясному промінні, неначе дрібнісінька мошка.
M-AILABS_ukr_000581	voly_10_f000102	а коло неї вертиться сотниченко Саєнко, молодий, чорнявий, веселий, танцюристий; тут же й гетьманського колись полковника Кряжа син походжає з сином полковника Кармазином, що приїхав на бенкет з молодою жінкою, аж з самого Ромна.
M-AILABS_ukr_000582	kaydasheva_s002265	Мотре! Коли ти наша, то слухай матері та роби діло. Не сьогодні ж до нас привезена. Наш хліб їси, нам і роби, а як ні, то ми тебе й попросимо слухати.
M-AILABS_ukr_000583	voly_05_f000141	Чіпка слухав, слухав та й голову схилив на груди, слухаючи. Незчувся, коли й вечоріти стало. Дід удвох з Грицьком й отару зайняли.
M-AILABS_ukr_000584	tini_zabutyh_predkiv_s000089	І простяг руки до неї.
M-AILABS_ukr_000585	voly_30_f000075	- Хто там? - питає вона з печі.
M-AILABS_ukr_000586	zahar_berkut_s000205	Потік тухольський перший раз відроду побачив такий блиск; перший раз розігрівся в своїм холоднім кам'янім ложі. Може, зо дві години тривала пожежа,
M-AILABS_ukr_000587	zvirobij_s004542	що потрібна була вся проникливість Звіробоя, аби розгадати в цьому нещирість, і немало філософського спокою, щоб, розгадавши, не злякатись.
M-AILABS_ukr_000588	tini_zabutyh_predkiv_s000332	Білі ярки, забившись у холодок під смереку, дивились дурними очима, як качались по мхах двоє дітей, дзвонячи в тиші молодим сміхом.
M-AILABS_ukr_000589	15YO_Capitan_s001040	Кузен Бенедикт напався на Негору, однак той з холодною байдужістю пустив його гнівні слова повз вуха.
M-AILABS_ukr_000590	15YO_Capitan_s004547	Капітан Халл окинув зором палубу: на ній нікого не було. Собака відбіг од борту й, посунувшись до розчиненого центрального люка, загавкав, повертаючи голову то до люка, то до людей.
M-AILABS_ukr_000591	kaydasheva_s002065	Оддай мені яйця, злодійко! Нащо ти покрала наші яйця? - репетувала Мелашка.
M-AILABS_ukr_000592	voly_25_f000086	- Еге ж. Не губи, Сидоре, душі! Я знаю: ти чоловік добрий.
M-AILABS_ukr_000593	zahar_berkut_s001602	про яких говорять нам тисячолітні пісні та перекази.
