voxpopuli_lit_006176	20191125-0900-PLENARY-lt_20191125-21:49:02_7	Deja, didžioji dauguma nuteistų kaltininkų slapstosi Rusijoje ir Baltarusijoje.
voxpopuli_lit_006294	20150415-0900-PLENARY-14-lt_20150415-19:31:26_8	Todėl aš labai prašau, kad Komisija, pradėjusi dirbti visai neseniai, gal būt rudenį jau galėtų mums čia Europos Parlamente pristatyti strategiją su konkrečiom priemonėm, ką reikia daryti, kad Europos Sąjungos institucijos įdarbindamos neįgaliuosius, taptų pavyzdžiu visoms valstybėm narėm.
voxpopuli_lit_006295	20151026-0900-PLENARY-16-lt_20151026-22:29:58_2	Kadangi ARTEMIS ir ENIAC nebeegzistuoja atskirai, bet kokias rekomendacijas, susijusias su audito procedūrų tobulinimais, turės įgyvendinti jau nauja bendra įmonė ECSEL, todėl svarbu jai duoti laiko ir suteikti biudžeto įvykdymo patvirtinimą.
voxpopuli_lit_006296	20140114-0900-PLENARY-3-lt_20140114-09:49:11_5	iki 2020 m., t. y. dėl Sąjungos daugiametės finansinės programos. Ukrainos asociacijos susitarimo su ES nepasirašymas negalėtų būti pavadintas Lietuvos pirmininkavimo nesėkme, kaip tai įvardijo daugelis komentatorių, bet akivaizdaus žaidimo pasekme, žaidimo, kurį žaidė Kijevo valdžia
voxpopuli_lit_006297	20150916-0900-PLENARY-17-lt_20150916-23:12:38_7	Komunistinių metodų naudojimas ir protestuojų bauginimas yra neleistina Europos Sąjungoje.
voxpopuli_lit_006298	20191217-0900-PLENARY-lt_20191217-22:09:06_7	Tam būtina suderinti, unifikuoti sveikatos priežiūros paslaugų sistemas valstybėse narėse, gerinti tarpinstitucinį bendradarbiavimą bei viešosiose e.
voxpopuli_lit_006299	20150415-0900-PLENARY-14-lt_20150415-19:25:54_0	akivaizdu, kad neįgaliųjų įdarbinimo kvotų klausimas yra susijęs su pozityvia diskriminacija, kuri rodo ir mūsų visuomenės brandą bei norą imtis spręsti konkrečių grupių problemas.
voxpopuli_lit_006300	20150706-0900-PLENARY-12-lt_20150706-21:50:16_2	Ir noriu pasakyti, kad perdirbėjai jau tiek savivaliauja, kad ,pavyzdžiui, praeitą savaitę Lietuvoje už dvylika euro centų nesutiko supirkti viso pieno ir ūkininkai buvo priversti dalį pieno išpilti į mėšlides.
voxpopuli_lit_006301	20190312-0900-PLENARY-lt_20190312-11:16:36_10	Nenoriu ir niekada nebūsiu Europos Sąjungos pilietis. Manau, kad savos tautybės ir pilietybės taip pat nenorėtų atsisakyti lenkai, prancūzai, vokiečiai ar Ispanijoje teisiamus savo lyderius palaikantys katalonai.
voxpopuli_lit_006302	20190212-0900-PLENARY-lt_20190212-09:35:49_2	Reiškia ta atominė elektrinė, kuri yra Černobylio tipo, šiandieną statoma nesilaikant tarptautinių standartų šalia Europos Sąjungos, vos dvidešimt kilometrų nuo sienos, kelia potencialiai didžiulį pavojų.
voxpopuli_lit_006303	20190213-0900-PLENARY-lt_20190213-19:28:36_4	Kinija nesilaiko abipusiškumo principo. Dėl to tiesioginių užsienio investicijų patikros mechanizmas visos ES lygiu turi būti įteisintas ir veikti artimiausiu metu.
voxpopuli_lit_006304	20190918-0900-PLENARY-lt_20190918-18:34:46_10	Paktas nebus pakartotas, jei nebūsime atlaidūs, kai vykdoma agresija, kurstomas separatizmas ir terorizmas ar skleidžiama dezinformacija, siekiant sukelti masinius neramumus.
voxpopuli_lit_006305	20140114-0900-PLENARY-13-lt_20140114-20:26:06_3	yra naudojama kontrabandinės cigaretės.
voxpopuli_lit_006306	20150519-0900-PLENARY-7-lt_20150519-13:00:12_2	Antibiotikai nėra maistas ar papildai, nors akivaizdu, kad ne visi tai suvokia.
voxpopuli_lit_006307	20140113-0900-PLENARY-19-lt_20140113-21:57:35_2	Nedeklaruojamas šešėlinis darbas iškraipo konkurenciją, sukelia socialinio dempingo grėsmę, ir galiausiai dėl to labiausiai nukenčia darbuotojai, ypač savarankiškai dirbantys, namų ūkio darbuotojai.
voxpopuli_lit_006308	20150415-0900-PLENARY-17-lt_20150415-21:26:48_4	Savo ruožtu raginu visas Europos Sąjungos institucijas garbingai priimti šią piliečių vartotojų išreikštą valią ir užtikrinti realias galimybes kiekvienai valstybei narei atsiriboti nuo GMO auginimo savo teritorijose.
voxpopuli_lit_006309	20190213-0900-PLENARY-lt_20190213-19:28:36_8	Kai kurios jų, kur Kinijos investicijos yra ženklios, jau dabar kalba Kinijos balsu, akivaizdžiai atstovaudamos Kinijos interesams, ir tai iš tikrųjų yra pavojinga.
voxpopuli_lit_006310	20150325-0900-PLENARY-15-lt_20150325-21:40:09_3	Tokiais įstatymais yra neva kovojama su socialiniu dempingu, tačiau realiai tai yra priemonė uždaryti nacionalines vežimo įmones ir panaikinti konkurenciją, ypač Rytų ir Centrinės Europos šalių vežėjų.
voxpopuli_lit_006311	20191125-0900-PLENARY-lt_20191125-21:49:02_9	Kviečiu Jus politinio solidarumo veiksmui, kadangi Rusijos persekiojamų Lietuvos teisėjų, prokurorų ir tyrėjų istorija gali lengvai atsikartoti kitose Europos demokratinėse valstybėse, jiems priimant sprendimus dėl demokratijos ir laisvių gynimo.
voxpopuli_lit_006312	20151006-0900-PLENARY-17-lt_20151006-22:18:49_0	Pritariu šiam pranešimui, kuris nustato griežtas oro taršos, ypač kietųjų dalelių, išmetimo mažinimo prievoles.
voxpopuli_lit_006313	20190918-0900-PLENARY-lt_20190918-18:28:23_1	Karas atnešė neregėto masto kančias Holokausto tragedija, okupacijos, gulagai, tremtys tai patyrė nesuskaičiuojama daugybė žmonių.
voxpopuli_lit_006314	20190213-0900-PLENARY-lt_20190213-10:40:57_2	Labai svarbu, Sąjungos lygmeniu nustatant regionų išsivystymo lygį, bus įtraukti ne tik istorinius, bet ir vadovaujamasi 2016 ais metais Komisijos patvirtinta nauja regionų klasifikavimo sistema sudarys galimybes mažinti regionų
voxpopuli_lit_006315	20190327-0900-PLENARY-lt_20190327-12:29:38_1	Tai, kas pasiekta, nėra kompromisas.
voxpopuli_lit_006316	20150325-0900-PLENARY-15-lt_20150325-20:52:05_4	Nes jie tikrai negalės konkuruoti su Vokietijos nustatytais reikalavimais. Todėl gali atsitikti pats blogiausias variantas, mūsų vežėjai bankrutuos. Darbuotojai neteks darbo, neteks pajamų.
voxpopuli_lit_006317	20190312-0900-PLENARY-lt_20190312-09:50:27_4	Lyčių lygybės principo užtikrinimas aptariamose pozicijose yra įtvirtintas ne tik Europos Sąjungos sutartyse, bet ir bent jau trijuose reglamentuose, apibrėžiančiuose Europos Sąjungos finansinių įstaigų veiklą.
voxpopuli_lit_006318	20140205-0900-PLENARY-11-lt_20140205-16:18:13_4	Šiame kontekste Rusijos ir ES strateginės partnerystės, kuri grindžiama bendromis vertybėmis, lozungas skamba kaip pasityčiojimas.
voxpopuli_lit_006319	20190403-0900-PLENARY-lt_20190403-16:29:54_6	Kodėl visas Europos Sąjungos finansų sektorius nuo 2008 metų krizės laikų gavo daugiau pagalbos, nei bet kuris kitas ekonomikos sektorius?
voxpopuli_lit_006320	20150908-0900-PLENARY-3-lt_20150908-10:47:49_7	Teigiama, kad klonuoti gyvūnai turi problemų su imunine sistema ir yra neatsparūs daugeliui ligų, todėl iš jų pagaminti maisto produktai gali būti užkrėsti ligų pernešėjais labiau negu įprasta.
voxpopuli_lit_006321	20190403-0900-PLENARY-lt_20190403-16:29:54_12	Ar galima džiūgauti dėl tokios Europos Sąjungos, kurioje šiandien politikai yra teisiami už referendumo, vieno iš svarbiausių demokratijos atributų, organizavimą? Man nepatinka tokia Europos Sąjunga, kurioje tik kalbama apie lyderystę, tik džiaugiamasi dar vienu, nieko nenusprendusiu
voxpopuli_lit_006322	20191125-0900-PLENARY-lt_20191125-21:49:02_8	Apgailėtina, kad praėjus trisdešimčiai metų po Sausio 13 osios, turėdami Lietuvos teismo sprendimą, mes vėl pajutome Rusijos valdžios klastingas pastangas diskredituoti laisvės gynėjus ir persekioti juos apgynusius.
voxpopuli_lit_006323	20150519-0900-PLENARY-7-lt_20150519-13:00:12_4	Nepriimtina, kad vis daugiau gyvūnų yra užsikrėtę antibiotikams atspariomis bakterijomis ir dėl to kyla pavojus, kad per užkrėstą maistą jie gali perduoti šią bakteriją vartotojams.
voxpopuli_lit_006324	20191022-0900-PLENARY-lt_20191022-19:35:59_0	Gerbiamas Pirmininke, taip, tikrai, diskriminacijai negali būti vietos Europos Sąjungoje.
voxpopuli_lit_006325	20190403-0900-PLENARY-lt_20190403-16:29:54_10	Tačiau prisiimti atsakomybės dėl tokios politikos padarinių jos autoriai kažkodėl neskuba.
voxpopuli_lit_006326	20140113-0900-PLENARY-21-lt_20140113-22:20:25_15	Socialines išmokas reikėtų vertinti kaip investiciją į žmones, kuri leidžia jiems prisitaikyti prie pokyčių darbo rinkoje, apsisaugoti nuo skurdo ir socialinės atskirties bei padeda integruotis į darbo rinką.
voxpopuli_lit_006327	20191125-0900-PLENARY-lt_20191125-21:47:32_7	Europos teismų būti tinklas pateikė savo nuomonę, jie palaiko Europos Sąjungos teisėjus, todėl kviečiu pritarti ir palaikyti pateiktą rezoliuciją.
voxpopuli_lit_006328	20150908-0900-PLENARY-15-lt_20150908-19:25:50_1	Iš tiesų Europos metai dėl kartų solidarumo ir aktyvaus senėjimo buvo svarbūs mūsų žmonėms, nes suteikė postūmį ir kartų solidarumui, ir tolimesniam aktyvaus senėjimo politikos formavimui šalyse narėse.
voxpopuli_lit_006329	20140116-0900-PLENARY-4-lt_20140116-10:33:52_4	Nepaisant to, kad Parlamentas nepritarė anam rezoliucijos projektui, šiandien mums vėl bandoma pakišti naujais prieskoniais paskanintą seną dokumentą, įvilktą į naują Europos Sąjungos Komisijos pareiškimą „Dėl nediskriminacijos seksualinės ir reprodukcinės sveikatos ir teisių srityje.
voxpopuli_lit_006330	20190919-0900-PLENARY-lt_20190919-12:32:53_9	Todėl, norint būti teisingiems prieš savo vaikus ir anūkus bei sukurti teisingesnę laimingesnę Europą, mes negalime leisti pasikartoti panašioms tragedijoms.
voxpopuli_lit_006331	20150311-0900-PLENARY-3-lt_20150311-10:28:06_3	Šiuo atveju bendra energetika yra tas didelis pliusas, kuris jau seniai buvo reikalingas Europos Sąjungos valstybėms.
voxpopuli_lit_006332	20150519-0900-PLENARY-17-lt_20150519-22:58:50_8	Tačiau tas pats 33 Konvencijos straipsnis nurodo, kad Parlamentas yra labai svarbi Europos Sąjungos struktūros dalis, kuriai patikėta skatinti, saugoti ir kontroliuoti Neįgaliųjų teisių apsaugos konvencijos įgyvendinimą.
voxpopuli_lit_006333	20151008-0900-PLENARY-3-lt_20151008-08:42:38_4	Antra, noriu priminti, jog darbo rinkoje nuolatos vyksta darbų išskaidymas pagal sektorius.
voxpopuli_lit_006334	20191217-0900-PLENARY-lt_20191217-22:09:06_4	Konfidencialiai naudojami duomenys, gauti iš sveikatos sistemos galėtų padėti vykdyti sveikatos apsaugos politiką.
voxpopuli_lit_006335	20140114-0900-PLENARY-3-lt_20140114-10:03:41_7	Iš tikrųjų Lietuvai pirmininkaujant pavyko rasti bendrus kompromisus, priimti bendrus sprendimus dėl bendro bankų priežiūros ir pertvarkos mechanizmo, dėl indėlių garantijų sistemos direktyvos, dėl ilgai diskutuotos Tabako direktyvos.
voxpopuli_lit_006336	20190918-0900-PLENARY-lt_20190918-18:30:17_8	Europos atminties diena, kurią minime kasmet, privalo būti labiau matoma ir girdima, kad niekados nepamirštume kokią kainą teko sumokėti už laisvę, taiką ir demokratiją.
voxpopuli_lit_006337	20140114-0900-PLENARY-9-lt_20140114-15:35:27_0	Visų pirma noriu pasveikinti savo kolegą Marcą Tarabellą už atliktą didžiulį darbą IMCO komitete bei derybose su Taryba siekiant išsaugoti principinius viešųjų pirkimų aspektus, kuriems buvo pritarta ITRE komitete.
voxpopuli_lit_006338	20150325-0900-PLENARY-15-lt_20150325-21:40:09_0	Vokietijos priimtas įstatymas nesiderina nei su ekonomine logika, nei su kertiniais Europos Sąjungos vidaus rinkos veikimo principais.
voxpopuli_lit_006339	20151006-0900-PLENARY-17-lt_20151006-22:18:49_5	Jei reikėtų tai daryti vien savo lėšomis, nebūtų tai teisinga ir nebūtų paskata biomasės plėtrai energetikoje, kuri ne tik mažina klimato kaitą, bet ir kuria darbo vietas bei mokesčius ir formuoja energetinę nepriklausomybę.
voxpopuli_lit_006340	20150908-0900-PLENARY-3-lt_20150908-10:47:49_9	Labai gerai, kad diskutuojame šiuo klausimu, kuris iki šiol nebuvo reglamentuotas visos Europos Sąjungos mastu, ir kol kas vienintelis priimtinas reglamentavimas yra draudimas užsiimti tokia veikla, kaip siūlo pranešėjai ir ENVI bei agrariniai komitetai.
voxpopuli_lit_006341	20140113-0900-PLENARY-21-lt_20140113-22:20:25_8	Pranešime taip pat raginu valstybes nares ir Komisiją imtis priemonių kovojant su visų formų diskriminacija darbo rinkoje socialinės apsaugos srityje, kad moterų atlyginimai už tą patį darbą ir socialinės išmokos, įskaitant pensijas, nebūtų mažesni už vyrų ir būtų užtikrinta motinystės apsauga.
voxpopuli_lit_006342	20190213-0900-PLENARY-lt_20190213-10:40:57_1	Labai džiugu, kad ir mano iniciatyvos dėka kitam finansiniam laikotarpiui siūloma nemažinti sanglaudai skiriamo finansavimo ir nemažinti Europos Sąjungos paramos atskirų projektų kofinansavimui.
voxpopuli_lit_006343	20150520-0900-PLENARY-23-lt_20150520-20:25:47_2	Šiandien turime kalbėti apie realią paramą, kuri būtų apčiuopiama ir galėtų duoti abipusės naudos.
voxpopuli_lit_006344	20190213-0900-PLENARY-lt_20190213-10:40:57_4	Gera žinia ir tai, kad Parlamento pranešime įtraukta ir nustatyta parama bendruomenių inicijuotai vietos plėtrai.
voxpopuli_lit_006345	20151029-0900-PLENARY-4-lt_20151029-08:56:45_4	Todėl kviečiu Komisiją imtis iniciatyvos ir pakeisti šią direktyvą ir atšaukti
voxpopuli_lit_006346	20190918-0900-PLENARY-lt_20190918-18:30:17_1	Nors mes visi turime savo unikalią istoriją, tačiau kaip europiečiai esame sujungti bendroje istorijoje.
voxpopuli_lit_006347	20190327-0900-PLENARY-lt_20190327-15:13:16_2	Bet, kaip sakoma, geriau vėliau negu niekada.
voxpopuli_lit_006348	20151029-0900-PLENARY-4-lt_20151029-08:56:45_3	Žemės ūkio sektoriuje dirbantiems žmonėms laiko persukimo poveikis yra labai neigiamas, nes jie priklauso nuo dviejų režimų vienas yra biologinis gyvulių laikas, kurio keisti negalime, antras visuomeninis laikas, prie kurio ūkininkai turi taikytis, veždami vaikus į mokyklą, važiuodami į turgų ar tvarkydami kitus ūkio reikalus.
voxpopuli_lit_006349	20190918-0900-PLENARY-lt_20190918-18:28:23_5	Kremlius ir toliau siekia išlaikyti savo įtakoje šalis, norinčias prisijungti prie mūsų Ukrainą, Moldovą ir Sakartvelą
voxpopuli_lit_006350	20150908-0900-PLENARY-3-lt_20150908-10:47:49_0	Gerbiamas Komisare, kolegos, pagalvokime, kokias problemas ūkinių gyvūnų klonavimas išsprendžia Europos Sąjungos žemės ūkyje.
voxpopuli_lit_006351	20150519-0900-PLENARY-17-lt_20150519-22:58:50_2	Todėl Komisija, kaip sutarčių sergėtoja, privalo gerbti šį ES politinį įsipareigojimą ir daryti viską, kad tokie svarbūs teisės aktai kaip Antidiskriminacinė direktyva arba Prieinamumo aktas būtų pateikti ir priimti.
voxpopuli_lit_006352	20140113-0900-PLENARY-20-lt_20140113-22:13:25_1	Iš tikrųjų, darbuotojų finansinis dalyvavimas dalijantis įmonių pajamomis yra pažangi ir efektyvi priemonė, kurios pagalba darbuotojams yra ne tik suteikiama papildoma finansinė nauda už darbą įmonėje, bet kartu darbuotojai yra įtraukiami ir į įmonių strateginių sprendimų priėmimą.
voxpopuli_lit_006353	20140114-0900-PLENARY-3-lt_20140114-10:03:41_6	palyginti su praėjusiu finansinio programavimo laikotarpiu.
voxpopuli_lit_006354	20190212-0900-PLENARY-lt_20190212-21:39:51_0	Nepaisant priimtų teisės aktų rekomendacijų strategijų lyčių lygybės srityje realybė iš tikrųjų yra tokia, kad mes esame tik pusiaukelėje siekdami lyčių lygybės ir šiuo metu pažanga yra tokia lėta, o kai kuriose srityse netgi blogėja moterų teisių padėtis.
voxpopuli_lit_006355	20190918-0900-PLENARY-lt_20190918-18:28:23_4	Vis dėlto, net praėjus 80 metų nuo Pakto, jo pasekmes vis dar jaučiame, nes skiriamosios linijos išlieka Europos rytuose.
voxpopuli_lit_006356	20190327-0900-PLENARY-lt_20190327-12:29:38_4	Jei bent dėl vieno negalime sutarti, nesutarta dėl viso paketo.
voxpopuli_lit_006357	20190919-0900-PLENARY-lt_20190919-12:32:53_0	Gerbiamas Pirmininke, aš balsavau už šią rezoliuciją kaip vienas iš nedaugelio šioje salėje, gimęs tremty.
voxpopuli_lit_006358	20190403-0900-PLENARY-lt_20190403-16:29:54_18	Kaip ir savanaudiška pagalba.
voxpopuli_lit_006359	20140114-0900-PLENARY-3-lt_20140114-10:34:33_6	Pažymėsiu, kad Rusija visiškai sugadino savo įvaizdį pasaulyje daugelis žmonių suprato, kad Rusija nesiūlo draugiškos partnerystės, bet siekia dominuoti.
voxpopuli_lit_006360	20190327-0900-PLENARY-lt_20190327-12:29:38_3	Ieškodami išeities iš susidariusios padėties turėtume laikytis kelių taisyklių. Pirma turi būti sutarta dėl viso paketo, dėl visų trijų dokumentų, nes jie yra tarpusavyje susiję.
voxpopuli_lit_006361	20140204-0900-PLENARY-15-lt_20140204-17:14:36_2	Kaip Lietuvos atstovė pastebėsiu, kad Lietuvos gamintojai stipriai palaiko Europos Komisijos teisinę iniciatyvą modernizuoti Bendrijų prekybos apsaugos priemones.
voxpopuli_lit_006362	20191113-0900-PLENARY-lt_20191113-21:00:19_4	Mes iš tikrųjų palaikome žmones, kurie savo teises gina demokratiniais metodais išeidami į gatves ir pareikšdami nuostatas.
voxpopuli_lit_006363	20151006-0900-PLENARY-18-lt_20151006-22:37:43_5	Nepaisant to, kad priėmus šią direktyvą pieno rinka taps geriau valdoma, tai neišspręs šiuo metu ją kankinančių struktūrinių problemų.
voxpopuli_lit_006364	20150706-0900-PLENARY-12-lt_20150706-21:50:16_0	Iš tikrųjų džiaugiuosi, kad šiandien svarstomas šis klausimas ir dėkoju kolegai Jamesui Nicholsonui už parengtą darbą, bet noriu pasakyti, kad, deja, ši problema tik didėja ir aštrėja.
voxpopuli_lit_006365	20190327-0900-PLENARY-lt_20190327-12:30:52_0	Gerbiama pirmininke, gerbiami kolegos, keletą metų teko dirbti transporto ministru ir gana gerai žinau šitą klausimą.
voxpopuli_lit_006366	20150312-0900-PLENARY-12-lt_20150312-12:57:31_5	Trečia, tekstas ragina valstybes nares užtikrinti, kad asmenys, kurie dirba savarankiškai, galėtų naudotis pagrindinėmis teisėmis ir pakankama socialine apsauga.
voxpopuli_lit_006367	20140204-0900-PLENARY-15-lt_20140204-17:14:36_4	Pastebėsiu, kad pagrindinės nesąžiningos prekybos priežastys yra dirbtinai iškreipiami žaliavų ir energetinių išteklių kaštai.
voxpopuli_lit_006368	20191217-0900-PLENARY-lt_20191217-17:09:28_3	m. laimėjimų, tai praeitais metais priimtas Europos prieinamumo aktas.
voxpopuli_lit_006369	20151008-0900-PLENARY-3-lt_20151008-08:42:38_2	Nes tai yra didžiausias lyčių lygybės principo pažeidimas ir nesilaikymas.
voxpopuli_lit_006370	20140114-0900-PLENARY-3-lt_20140114-10:03:41_8	Labai džiaugiuosi ir dėl judančių darbuotojų papildomų teisių į pensiją ir galiausiai tvirta padaryta pažanga, ir dėl komandiruojamų darbuotojų direktyvos, ir dėl daugelio kitų klausimų, kurie daro Europos Sąjungą iš tikrųjų labiau patikimą, augančią ir atvirą.
voxpopuli_lit_006371	20191125-0900-PLENARY-lt_20191125-21:49:02_6	Jų ir kitų žuvusiųjų šeimos ir artimieji ilgus metus laukė istorinio teisingumo.
voxpopuli_lit_006372	20140116-0900-PLENARY-4-lt_20140116-10:33:52_2	Aš nuoširdžiai džiaugiausi, kad tada Parlamentas nepritarė p.
voxpopuli_lit_006373	20191125-0900-PLENARY-lt_20191125-22:01:30_7	Europos Sąjunga turi pademonstruoti solidarumą su Lietuva ir užtikrinti, kad neteisėti Rusijos veiksmai nepažeistų esminių Europos Sąjungos principų bei užkirsti kelią bet kokiems neteisėtam Rusijos bandymams kompromituoti Europos Sąjungos šalies teisminės sistemos nepriklausomumą.
voxpopuli_lit_006374	20190403-0900-PLENARY-lt_20190403-16:29:54_0	Pone pirmininke, pone premjere, sveiki atvykę į Europos Parlamentą.
voxpopuli_lit_006375	20150415-0900-PLENARY-17-lt_20150415-21:26:48_3	Sveikinu šį racionalų sprendimą, kuris turėtų tapti pavyzdžiu ir kitoms valstybėms narėms.
voxpopuli_lit_006376	20140114-0900-PLENARY-3-lt_20140114-09:49:11_16	Kreipiuosi į Tarybą ir Komisiją nedelsiant imtis veiksmų įgyvendinant šią rezoliuciją ir reaguoti siekiant sustabdyti represijas, diskriminaciją bei tautinių mažumų persekiojimus Sąjungos teritorijoje.
voxpopuli_lit_006377	20151111-0900-PLENARY-17-lt_20151111-23:44:26_2	Lietuvos pieno gamintojai taip pat reikalauja nepamiršti Rusijos embargo sukeltų nuostolių bei sukurti vieningą jų kompensavimo sistemą. Ne mažiau svarbus reikalavimas remti, skatinti pieno gamintojų kooperaciją.
voxpopuli_lit_006378	20150311-0900-PLENARY-3-lt_20150311-10:28:06_7	Bet mane neramina, kad, lyginant su užmojais, minėtos Sąjungos energetinės infrastruktūros sukūrimui numatyta pernelyg mažai lėšų.
voxpopuli_lit_006379	20151006-0900-PLENARY-17-lt_20151006-22:18:49_4	Kviečiu Komisiją kartu su prievole sudaryti galimybę įmonėms, gaminančioms iš atsinaujinančių šaltinių energiją, atitikti naujus reikalavimus.
voxpopuli_lit_006380	20191113-0900-PLENARY-lt_20191113-22:57:13_1	griaunamos bažnyčios, šalinami kryžiai, areštuojami tikintieji, daugelis kunigų vis dar yra kalėjimuose. Prieš tris savaites valdžia sugriovė ten dar vieną bažnyčią.
voxpopuli_lit_006381	20140204-0900-PLENARY-15-lt_20140204-17:14:36_9	Akivaizdu, kad nesąžininga prekyba neleidžia visiems rinkos dalyviams užtikrinti vienodų žaidimo taisyklių ir tuo tiesiogiai kenkia Europos Sąjungos įmonių konkurencingumui.
voxpopuli_lit_006382	20190312-0900-PLENARY-lt_20190312-11:16:36_12	Reikia gero chirurgo, kuris sveikatos labui nurėžtų pūliuojančius genderizmo, multikultūriškumo, globalizmo argumentus.
voxpopuli_lit_006383	20191125-0900-PLENARY-lt_20191125-22:01:30_2	įvykiai paženklino Lietuvos istoriją Lietuvos žmonių krauju ir netektimis.
voxpopuli_lit_006384	20140113-0900-PLENARY-19-lt_20140113-21:57:35_0	Sveikinu pranešėją parengus tikrai gerą pranešimą, kuriame pabrėžiamos darbo inspekcijų Europos Sąjungoje patiriamos problemos ir pateikiamos politinės rekomendacijos, kaip pažaboti nedeklaruojamą darbą ir padėti inspekcijoms veiksmingiau dirbti.
voxpopuli_lit_006385	20150309-0900-PLENARY-13-lt_20150309-22:58:50_1	Priešingai, Prancūzija ir Belgija uždraudė vairuotojų kassavaitinį poilsį transporto priemonėse, Vokietija nustatė minimalų valandinį atlyginimą.
voxpopuli_lit_006386	20190404-0900-PLENARY-lt_20190404-09:57:44_1	Mes privalome įvertinti tai, jog Europa sensta, todėl palankesnės sąlygos derinti darbą ir asmeninį gyvenimą tikrai įgalintų tėvus daugiau dėmesio skirti savo šeimai ir paskatintų gimstamumą.
voxpopuli_lit_006387	20191126-0900-PLENARY-lt_20191126-11:17:28_8	Investicijos į ekonomikos augimą privalo užtikrinti, jog dirbantis žmogus nepatirtų skurdo.
voxpopuli_lit_006388	20191022-0900-PLENARY-lt_20191022-19:35:59_6	Ir tikrai nuoširdžiai dėkoju pirmininkaujančiai Suomijai, kuri ryžosi sėsti prie bendro stalo ir plačiau aptarti būtent šios direktyvos judėjimo į priekį galimybes.
voxpopuli_lit_006389	20190403-0900-PLENARY-lt_20190403-16:29:54_3	Bet, pone premjere, aš jau dešimt metų šioje salėje turiu galimybę tiesiogiai girdėti bei matyti įvairių šalių prezidentų ir premjerų pasisakymus, Europos institucijų vadovų, Komisarų kalbas ir kuo daugiau aš jų išgirstu, tuo daugiau klausimų nei atsakymų.
voxpopuli_lit_006390	20140204-0900-PLENARY-15-lt_20140204-17:14:36_0	Pirmiausia noriu padėkoti kolegai C.
voxpopuli_lit_006391	20150325-0900-PLENARY-15-lt_20150325-21:28:17_0	Mes su gerbiamu Izmailu esame senai pažįstami nuo praėjusios kadencijos ir šitas klausimas šiandien iš tikrųjų nurodo, kad pačioje Europos Sąjungoje yra daug neišspręstų klausimų.
voxpopuli_lit_006392	20190918-0900-PLENARY-lt_20190918-18:30:17_10	Istorinės atminties išsaugojimas ir jos perdavimas ateities kartoms yra mūsų pareiga.
voxpopuli_lit_006393	20140114-0900-PLENARY-9-lt_20140114-15:35:27_6	Manau, kad ateityje visi viešieji pirkimai turi būti perkelti į elektroninę erdvę, kas leis sukurti skaidrias ir labiau efektyvias viešųjų pirkimų sistemas valstybėse narėse.
voxpopuli_lit_006394	20150309-0900-PLENARY-13-lt_20150309-22:51:26_8	Ir mes visi bendrai turime surasti paramą, pagalbą ne tik ekonominę, bet ir politinę pagalbą toms valstybėms.
voxpopuli_lit_006395	20151006-0900-PLENARY-18-lt_20151006-22:37:43_2	Labai aukštai vertinu pranešėjo siekį užtikrinti, kad vartotojai būtų tinkamai informuojami apie maistą.
voxpopuli_lit_006396	20190918-0900-PLENARY-lt_20190918-18:34:46_1	Daugiau niekada šiuos žodžius norisi ištarti prisimenant prieš aštuoniasdešimt metų rugpjūčio dvidešimt trečią dieną komunistinės Rusijos ir nacistinės Vokietijos pasirašytą Molotovo Ribentropo paktą.
voxpopuli_lit_006397	20150310-0900-PLENARY-16-lt_20150310-16:53:55_5	sukčiavimo ir 70 proc.
voxpopuli_lit_006398	20140114-0900-PLENARY-3-lt_20140114-10:34:33_0	Kadangi atstovauju Lietuvai, pirmiausia dėkoju visiems kolegoms iš Europos liaudies partijos ir kitų frakcijų, kurie prisidėjo prie Lietuvos pirmininkavimo sėkmės.
voxpopuli_lit_006399	20140114-0900-PLENARY-3-lt_20140114-10:34:33_7	Rusija, žaisdama be kompromisų, gali laimėti trumpalaikių pergalių, bet ilgalaikėje perspektyvoje tautos sieks išsilaisvinti iš Rusijos įtakos.
voxpopuli_lit_006400	20140114-0900-PLENARY-3-lt_20140114-10:34:33_5	Turime pripažinti, kad mūsų Rytų partnerystės programa pradžioje buvo biurokratiška ir techniška, tačiau dabar tapo aišku, kad tai yra geopolitinis klausimas, ir mūsų požiūris į jį turi būti atitinkamas.
voxpopuli_lit_006401	20151008-0900-PLENARY-3-lt_20151008-08:42:38_6	Tai yra labai sunkūs darbai, tačiau vis dar nuvertinami ir mažai apmokami. Ir galiausiai noriu paraginti Komisiją paskelbti Europos kovos su vyrų ir moterų darbo užmokesčio skirtumu metus.
voxpopuli_lit_006402	20191128-0900-PLENARY-lt_20191128-13:15:46_0	Ačiū, gerbiama pirmininke, gerbiami kolegos, iš tikrųjų Rusijos veiksmai prieš Lietuvos teisėjus, tyrėjas ir prokurorus, precedento neturintis įvykis, bandantis įsikišti į kitos šalies teisėsaugą.
voxpopuli_lit_006403	20190312-0900-PLENARY-lt_20190312-11:16:36_3	Kol kas ji prarado tiktai Didžiąją Britaniją tai pirmas ir paskutinis įspėjimas tiems, kurie Europos valstybių sąjungą siekia pakeisti globalia Europa.
voxpopuli_lit_006404	20190312-0900-PLENARY-lt_20190312-09:50:27_1	Ir visos Parlamentui pateiktos kandidatūros yra vyrai.
