voxpopuli_hun_005557	20101215-0900-PLENARY-4-hu_20101215-11:37:27_2	Nagyon nagy viták voltak és nagyon sok jó javaslat került az asztalra.
voxpopuli_hun_005673	20160414-0900-PLENARY-3-hu_20160414-09:30:02_6	Többek között ugye úgy fogalmaz a jelentés, hogy a leginkább érintett tagállamok lakosainak 60 a nem tudja kellő hőmérsékletűre fűteni az otthonát. Gondolom itt például saját hazánkra, Magyarországra, illetőleg a másodosztályúnak tekintett országokra gondol.
voxpopuli_hun_005674	20181002-0900-PLENARY-hu_20181002-19:33:50_0	Tisztelt képviselők!
voxpopuli_hun_005675	20111024-0900-PLENARY-10-hu_20111024-17:56:11_8	Minden kérdésben érvényesülnie kell a „semmit rólunk nélkülünk elvnek akkor is, amikor Európai Uniós forrásokat osztunk el és az integráció elvének.
voxpopuli_hun_005676	20151007-0900-PLENARY-7-hu_20151007-12:34:48_3	Nagy megtiszteltetés, hogy ebben a házban Európa egyik bölcséről a kelet európai demokráciák egyik fő alakítójáról megemlékezhetünk, és talán szimbolikus is, hogy a mai napon, akkor, amikor olyan események történnek a Házban, amely talán kizökkent minket a mindennapi politikai adok kapokból.
voxpopuli_hun_005677	20100614-0900-PLENARY-15-hu_20100614-21:42:45_2	Ezzel szinte egy időben mindkét országban parlamenti választásokra került sor.
voxpopuli_hun_005678	20150325-0900-PLENARY-16-hu_20150325-22:05:41_6	Ennek kiemelt célja a romák felzárkóztatásának elősegítése, életkörülményeinek javítása.
voxpopuli_hun_005679	20110511-0900-PLENARY-6-hu_20110511-15:09:54_23	A harmadik olvasatban eljutottunk odáig, hogy elvben egyetértettünk a klónozott állatokból származó élelmiszerek azonnali betiltásában. Nem szabad veszni hagynunk ezt az elvi egyetértést.
voxpopuli_hun_005680	20150211-0900-PLENARY-10-hu_20150211-16:33:50_6	Ennek a nemzetközi küzdelemnek kell élére állni a keresztény Európának, hitbeli szolidaritással vállalva közösséget a humanitárius katasztrófa által sújtott iraki, szíriai keresztényekkel, és valamennyi üldözöttel.
voxpopuli_hun_005681	20120910-0900-PLENARY-19-hu_20120910-20:09:29_6	Az viszont örvendetes, hogy a Bizottság most már megköveteli Romániában a független hatalmi szereplők kinevezésekor a többpárti egyeztetést.
voxpopuli_hun_005682	20110118-0900-PLENARY-11-hu_20110118-17:13:29_8	Nyilván a betegeknek kell ide érkezni.
voxpopuli_hun_005683	20120118-0900-PLENARY-18-hu_20120118-17:59:44_34	Nem védte meg a versenyt, és a magyar gazdaságot monopóliumok és kartellek uralták.
voxpopuli_hun_005684	20090915-0900-PLENARY-7-hu_20090915-13:03:42_0	Romániai magyarként a szolidaritás szellemében gratulálok Jerzy Buzek elnök úrnak, ő méltó utódja Hans Gert Pöttering volt elnökünknek.
voxpopuli_hun_005685	20131120-0900-PLENARY-3-hu_20131120-10:24:43_5	Fontos eredmény, hogy lehetőség nyílik az öt hektár alatti kisgazdaságok támogatására, ez több százezer magyar család megélhetését segíti.
voxpopuli_hun_005686	20170426-0900-PLENARY-11-hu_20170426-15:38:10_56	Meggyőződésünk, a polgárok bizalmát az európai intézmények iránt csak úgy tudjuk visszaszerezni, ha mindent megteszünk a rossz és alacsony hatékonyságú működés okainak a felszámolására.
voxpopuli_hun_005687	20091214-0900-PLENARY-10-hu_20091214-18:38:08_0	Szinte az egész európai agrárium válságban van, amelyet nem csak a világgazdasági válság és visszaesés, a belső és a külső piacok beszűkülése okozott, hanem a KAP politikája is, az a neoliberális politika, amelyet az előző években az Európai Bizottság folytatott.
voxpopuli_hun_005688	20100209-0900-PLENARY-3-hu_20100209-11:15:55_6	Ennek a nyelvtörvénynek az életbe lépésével nem csak az uniós alapjogok és az európai emberi jogi egyezmények rendelkezései sérültek, hanem az európai integráció egyik legnagyobb vívmánya, az egységes belső piac működése is veszélyben forog.
voxpopuli_hun_005689	20141124-0900-PLENARY-14-hu_20141124-20:42:17_4	A párbeszéd dolga pedig nagyon gyakran a gyorsítás áldozatává esik, én remélem, hogy a Bizottságnak vannak eszközei, sőt, kérdezem vannak e eszközei, hogy figyelembe vegye, hogy a gyorsítás során a párbeszéd vajon nem marad e el az érintettek között?
voxpopuli_hun_005690	20180911-0900-PLENARY-witholdRO-hu_20180911-16:44:55_14	Haza, szeretet, Európa!
voxpopuli_hun_005691	20110705-0900-PLENARY-3-hu_20110705-10:17:08_6	Idézném „Gyakorlatilag nincs semmi, ami megállíthatna bennünket, amit ma kitalálunk, az holnap törvényjavaslat, holnapután mindenkire kötelező viselkedési norma, és ilyenkor hajlamosak vagyunk elhinni, hogy mindenhez értünk.
voxpopuli_hun_005692	20180911-0900-PLENARY-hu_20180911-17:13:55_3	Már 2011 januárjában a magyar elnökségről szóló vitában fideszes képviselőként boszorkányüldözést emlegettem, látva az alaptalan és vállalhatatlan stílusú hozzászólásokat. Nekünk, magyaroknak, világos jövőképünk van.
voxpopuli_hun_005693	20110323-0900-PLENARY-15-hu_20110323-20:34:40_3	A Parlament sok európai polgár aggodalmát képviseli, amikor kiemelt figyelmet fordít arra, hogy az USA hatóságai adatokat kérnek be médiakommunikációs cégektől azt követően, hogy a WikiLeaks amerikai államtitkokat szivárogtatott ki. A Tanács természetesen osztja a Parlamentnek az uniós adatvédelmi szabályok tiszteletben tartásával kapcsolatos aggodalmait.
voxpopuli_hun_005694	20160706-0900-PLENARY-20-hu_20160706-21:31:14_3	Annak a bizonyítéka, hogy a meglevő európai és tagállami szabályozások nem képesek megvédeni a közérdekű bejelentőket, hogy szükség van egy egységes európai szintű és a jelenleginél hatékonyabb és erőteljesebb szabályozásra.
voxpopuli_hun_005695	20181113-0900-PLENARY-hu_20181113-11:05:04_1	Elsőként is teljességgel elfogadhatatlan, hogy a következő hétesztendős keretköltségvetésben ne jusson legalább annyi forrás a kohéziós politikára, a regionális fejlesztésre, illetve a közös agrárpolitikára, mintsem a jelenlegi hétéves időszakban.
voxpopuli_hun_005696	20140205-0900-PLENARY-3-hu_20140205-10:14:45_2	Évről évre jelentősen nő a légi forgalom, és ez az előrejelzések alapján a következő évtizedekben sem változik, ezért nagyon fontos az, hogy kellő módon biztosítsuk az utasok utazási biztonságát, a kényelmüket, és talán még ami emellett legfontosabb azt, hogy pontosan megérkezzenek azokra a célállomásokra, ahova elindultak. Éppen ezért fontos az, hogy szabályozzuk minél szigorúbb keretek között azokat a kártérítési feltételeket, amelyekre jogosultak az utasok annak érdekében, hogy a légitársaságok is komolyan vegyék az utazás biztonsági és pontossági követelményeit.
voxpopuli_hun_005697	20170517-0900-PLENARY-18-hu_20170517-17:41:16_8	Ezért azt kérem a Bizottságtól, hogy tegyen lépéseket, hogy az uniós polgárok biztonságának megőrzése mellett ne tegye lehetetlenné polgáraink szabad mozgását és mindennapi életét.
voxpopuli_hun_005698	20121210-0900-PLENARY-34-hu_20121210-22:17:21_4	a társadalmi csoportoknál szinte lehetetlen.
voxpopuli_hun_005699	20160912-0900-PLENARY-17-hu_20160912-20:35:08_1	Minden európai uniós kohéziós program, pénzügyi támogatási program legnagyobb rákfenéje a burjánzó korrupció.
voxpopuli_hun_005700	20181001-0900-PLENARY-hu_20181001-21:39:05_0	Az Európai Unió egyik legfőbb kihívásaként tekinthetünk az egyenlőtlen területi fejlettség jelenségére, amely vidéki térségek népességmegtartó erejének és ezáltal tulajdonképpen ezen térségek jövőjének a kulcskérdése.
voxpopuli_hun_005701	20130522-0900-PLENARY-19-hu_20130522-21:17:50_8	Viszont nem csak ezekről a kérdésekről szól ez az ügy, hanem arról is, hogy megbízunk e a Bizottságban, és sajnos vannak rossz tapasztalatok, mert a Bizottság nagyon érzéketlenül kezdte újra a Mercosur tárgyalásokat, sokakban azt az érzést keltve, hogy a Bizottság hajlamos a mezőgazdasági érdekek feláldozására.
voxpopuli_hun_005702	20101123-0900-PLENARY-14-hu_20101123-18:49:40_6	Sokszor használjuk és sokféleképpen gondolkodunk arról, hogy mit is jelent ez valójában.
voxpopuli_hun_005703	20100616-0900-PLENARY-17-hu_20100616-22:28:55_15	A Jobbik Magyarországért Mozgalom eddig mintegy 10 millió forintnyi adományt juttatott el a rászorulóknak, biztosítva azt, hogy nem hagyjuk magukra az embereket.
voxpopuli_hun_005704	20170404-0900-PLENARY-18-hu_20170404-19:13:10_6	Ez nem más, mint Európa maradék immunrendszerének a tudatos fölszámolása.
voxpopuli_hun_005705	20110913-0900-PLENARY-18-hu_20110913-23:30:05_7	Márpedig a növénytermesztés is az emberi tevékenységnek az eredménye.
voxpopuli_hun_005706	20140311-0900-PLENARY-20-hu_20140311-22:58:02_2	célja csupán egyszerűsíteni és megkönnyíteni azok gyakorlatba ültetését.
voxpopuli_hun_005707	20101019-0900-PLENARY-10-hu_20101019-17:39:02_9	Ebben benne van a Parlamentnek az a szándéka, hogy együttműködve a Bizottsággal a tagállamokat eredményesebb munkára késztesse. Olyanra, amely valóban a célokat közelíti, ahol a termelés növekszik, a munkahelyek száma növekszik.
voxpopuli_hun_005708	20200115-0900-PLENARY-hu_20200115-16:58:07_0	Tisztelt Elnök úr! Őszintén sajnálom, hogy a Magyarországról szóló vita egy állandó napirendi ponttá vált az Európai Parlamentben. Nemcsak azért, mert eljárásjogilag a Parlamentnek már semmi szerepe nem lenne a hetes cikkelyes eljárásban, hanem azért is, mert az egész vita nem valós tényekről, hanem egy politikai boszorkányüldözésről szól.
voxpopuli_hun_005709	20180910-0900-PLENARY-hu_20180910-21:40:10_5	Ez az a terület, ahol egyes tagállamok láthatóan nem tesznek meg mindent a nyelvi sokszínűség érvényesülése érdekében, sőt, minden eszközzel akadályozzák azt. Ez a fajta hozzáállás semmiképpen sem segíti az EU t a céljai elérésében, ezért határozottan EU ellenesnek tekinthető.
voxpopuli_hun_005710	20110308-0900-PLENARY-11-hu_20110308-17:46:38_40	Európa most kicsit befelé fordult.
voxpopuli_hun_005711	20110323-0900-PLENARY-13-hu_20110323-19:15:13_10	Középtávon nagyon fontos a nukleáris tudás fenntartása és továbbfejlesztése, mert ez a biztonság igazi garanciája.
voxpopuli_hun_005712	20160525-0900-PLENARY-12-hu_20160525-17:03:08_3	A fiatal generáció nem is érti, hogy miként beszélhetünk e nélkül közös piacról.
voxpopuli_hun_005713	20180503-0900-PLENARY-8-hu_20180503-12:18:37_4	Ugye itt van ez a fogalom, hogy kísérő nélküli gyermekek érkeznek Európába a szegénységből, nyomorból, húszezren évente.
voxpopuli_hun_005714	20101123-0900-PLENARY-18-hu_20101123-22:59:30_6	Nagyon fontos megállapítása ennek a dokumentumnak az, amikor felszólítja az Európai Bizottságot, hogy a minőségpolitika keretében változtassa meg a méztermékek címkézésére vonatkozó szabályokat.
voxpopuli_hun_005715	20120118-0900-PLENARY-18-hu_20120118-17:59:44_10	Ezek az emberek a liberális párt vezető párttestületének tagjai voltak, ezért pártemberek, és ez a párt, amelyben ők dolgoztak, úgy elvesztette a magyar nép bizalmát, hogy legutóbb azt az 5 os kulcsot sem érte el, hogy bejussanak a Parlamentbe.
voxpopuli_hun_005716	20180911-0900-PLENARY-hu_20180911-15:31:21_9	Most itt állok, és látom, hogy azok vádolják Magyarországot, akik örökül kapták a demokráciát, akiknek nem kellett személyes kockázatot vállalniuk a szabadságért.
voxpopuli_hun_005717	20091007-0900-PLENARY-10-hu_20091007-18:21:36_1	kitágítja a szociális jogokat, az Alapjogi Charta pedig jogilag kötelező érvényével védi, uniós normává teszi a nyelvi és a kulturális sokszínűséget.
voxpopuli_hun_005718	20121023-0900-PLENARY-4-hu_20121023-12:15:00_4	Ugyanakkor azt is fontosnak tartom, hogy az új bankfelügyelet a jelenlegi uniós intézmények és szerződések alapján kezdheti meg majd a működését, valamint azt is, hogy az EKB monetáris politikája és a felügyelettel kapcsolatos feladatai is egyértelmű elkülönítésre kerülnek majd a jövőben.
voxpopuli_hun_005719	20150519-0900-PLENARY-10-hu_20150519-15:44:38_2	Ennek ellenére engedjék meg, hogy ne ezzel a kérdéssel foglalkozzak, hanem pontosan azzal, hogy a védelem feltételeiről, és ennek a megteremtésének a fontosságáról beszéljek, úgy is, mint az IMCO nak a rapportőre ebben a kérdésben, kifejezetten a témára fókuszálva.
voxpopuli_hun_005720	20130910-0900-PLENARY-6-hu_20130910-10:22:43_6	Nagyon fontos, és nagyon kiemelendő, hogy közös felügyelet alá vonja a pénzügyi eszközöket.
voxpopuli_hun_005721	20130909-0900-PLENARY-19-hu_20130909-22:26:03_7	Ezt felháborítónak tartom, különösen úgy, hogy nyolc országban tiltakoznak már egységesen a beruházás ellen.
voxpopuli_hun_005722	20170705-0900-PLENARY-10-hu_20170705-13:38:09_1	Szavazatommal támogattam ezt az indítványt, hiszen egy sor olyan kérdésre világít rá, amelyek a közvélemény számára nem feltétlenül ismertek, így például hogy az Európai Betegségmegelőzési és Járványvédelmi Központ szerint a HIV fertőzöttek körében a hétből egy ember nem is tudja, hogy fertőzött e, vagy sem, mert a HIV fertőzés és a diagnosztizálás között a becslések szerint átlagosan négy év telik el.
voxpopuli_hun_005723	20130312-0900-PLENARY-5-hu_20130312-11:12:19_2	Romániában és több más környező országban oly méreteket öltött a magyarellenesség, hogy azt már már az antiszemitizmushoz és a cigányellenességhez hasonlíthatjuk.
voxpopuli_hun_005724	20150310-0900-PLENARY-12-hu_20150310-12:55:54_0	Úgy mint szocialista képviselő és mint az SD frakció árnyék jelentéstevője is, szavazatommal támogattam az éves versenypolitikai jelentés elfogadását.
voxpopuli_hun_005725	20151124-0900-PLENARY-6-hu_20151124-13:09:19_1	A növekvő gyermekszegénység és tartós mélyszegénység korunk Európájának egyik legsürgetőbb kihívása.
voxpopuli_hun_005726	20110705-0900-PLENARY-3-hu_20110705-09:58:34_2	Ezt tettük most is.
voxpopuli_hun_005727	20131209-0900-PLENARY-17-hu_20131209-20:17:35_3	A diszkrimináción és az általánosan magas munkanélküliségen túl fokozott figyelmet kell fordítanunk a foglalkoztathatóság kérdésére.
voxpopuli_hun_005728	20150310-0900-PLENARY-4-hu_20150310-09:23:17_4	Másodszor azt emelném ki, hogy sikerült előmozdítanunk az intermodalitást, és lehetőséget adnunk arra, hogy kombinálni tudjuk az áruszállítás különböző fajtáit a környezeti viszonyok, a gazdaságosság és a környezetvédelmi szempontok figyelembevételével.
voxpopuli_hun_005729	20181211-0900-PLENARY-hu_20181211-20:36:31_3	Többször is aggodalmam fejeztem ki a szélsőjobboldali szervezetek magyarellenes felvonulásai kapcsán, ezért üdvözlöm, hogy a jelentés kitér a szélsőjobboldaliak megfékezésének fontosságára és felrója az ukrán kormány tétlenségét.
voxpopuli_hun_005730	20200708-0900-PLENARY-hu_20200708-15:33:49_13	A szerződések mentén mindenkit egyenlő mércével mérve lehessen csak vizsgálódni.
voxpopuli_hun_005731	20111114-0900-PLENARY-17-hu_20111114-20:48:50_21	Ezek a neonikotinoid hatóanyagok, és én a jövőben környezetvédő és a méheket védő barátaimmal együtt harcolni fogok, hogy a növényvédőszerekből ezeket a hatóanyagokat minél inkább távolítsuk el.
voxpopuli_hun_005732	20090309-0900-PLENARY-13-hu_20090309-19:16:01_20	Csak ez lehet képes a nemzetállamnál hatékonyabb védelmet nyújtani a válság miatt nehéz helyzetbe került kis és közepes vállalkozásoknak.
voxpopuli_hun_005733	20170613-0900-PLENARY-20-hu_20170613-22:51:26_2	Az elismerés nemcsak az ország kezdeti európai integrációs lépéseinek megtételéhez elengedhetetlen, de a Szerbia és Koszovó közötti közeledésnek is kedvező környezetet teremtene.
voxpopuli_hun_005734	20110704-0900-PLENARY-12-hu_20110704-17:56:34_6	Legyen a szerződő felek kötelezettsége vagy hatékonyabb az, ha azt a központi szerződő fél teszi?
voxpopuli_hun_005735	20190130-0900-PLENARY-hu_20190130-18:30:52_2	Mint ahogy nagyon jól tudjuk, hogy nem államosították a sajtót Magyarországon és nem zártak be egyetemeket, mint ahogy a CEU Magyarországon akkreditált képzései továbbra is ottmaradnak és működnek. Ezt mindnyájan tudják, csak ezekről a tényekről mindig megfeledkeznek.
voxpopuli_hun_005736	20131008-0900-PLENARY-3-hu_20131008-08:59:45_1	azt jelenti, hogy az európai dohánytermesztésben a „Burley t lehet termeszteni.
voxpopuli_hun_005737	20090915-0900-PLENARY-7-hu_20090915-12:48:42_12	Elnök úr fölajánlotta közvetítését, ezt nagyon köszönjük, ennek azonban egy esetben lesz objektív eredménye, ha a magyar kisebbség szülőföldjén szabadon használhatja az anyanyelvét.
voxpopuli_hun_005738	20140224-0900-PLENARY-23-hu_20140224-22:38:52_7	Hogy miről van, szó azt akkor lehet megérteni, hogyha világossá tesszük, hogy amikor egy jogalkotási jelentést ez a Parlament elfogad, akkor utána normál esetben elveszíti a befolyását azokon a területeken, ahol delegálta a jogosítványait a végrehajtó szervezetnek, az Európai Bizottságnak.
voxpopuli_hun_005739	20110118-0900-PLENARY-11-hu_20110118-17:13:29_3	Nagyon nagyon fontos ugyanakkor, hogy ne kérdőjelezzük meg a tagállamok alapellátási kötelezettségét. A tagállamok felelősek a saját országukban élőket ellátni.
voxpopuli_hun_005740	20180301-0900-PLENARY-13-hu_20180301-13:17:27_1	Mi magyarok ismét kaptunk üzenetet az Európai Uniótól. Szeretném továbbítani honfitársaimnak így az április 8 i választásokra készülődve.
voxpopuli_hun_005741	20121121-0900-PLENARY-10-hu_20121121-17:52:40_1	A térség etnikai viszonyait és közelmúltját ismerve a kérdés jelentősége akkor, hogy az EU jelenlegi, gyakorlatilag nem létező kisebbségvédelmi szabályozása elégtelen a problémák rendezésére.
voxpopuli_hun_005742	20140714-0900-PLENARY-12-hu_20140714-17:44:49_5	Mindezek érdekében kértem az Európai Bizottságot, és kérem újra, hogy indítson vizsgálatot a magyarországi reklámadó kapcsán, hogy az megállja a helyét az Európai Unióban és tegyen hathatós intézkedéseket a magyar sajtószabadság helyreállítása érdekében.
voxpopuli_hun_005743	20091124-0900-PLENARY-19-hu_20091124-23:24:34_6	Szlovákiában, a Felvidéken az őshonos magyar népesség, ha az anyanyelvét használja, ezért büntetik.
voxpopuli_hun_005744	20150311-0900-PLENARY-12-hu_20150311-19:25:14_0	Elnök Úr, örvendek, hogy a gyermekek jogai, ezen belül a gyermekéhezés és az alultápláltság elleni küzdelem kiemelt figyelmet kaptak az éves jelentésben.
voxpopuli_hun_005745	20180612-0900-PLENARY-8-hu_20180612-13:30:30_3	A migránsok oktatásának, képzésének kérdése olyan túlzott hangsúllyal szerepel, ami annak elfogadását jelenti, hogy a következő években az európai kontinens a bevándorlók kontinensévé válik.
voxpopuli_hun_005746	20090324-0900-PLENARY-3-hu_20090324-09:25:44_10	Ez új szegmensek munkába való bekapcsolását jelentheti, ami nélkülözhetetlen lesz a fenntartható fejlődés, a 70 os legális foglalkoztatási szint eléréséhez.
voxpopuli_hun_005747	20140415-0900-PLENARY-18-hu_20140415-19:34:29_2	Ez tulajdonképpen visszaállítja a tagállamok egymás iránti kötelezettségét, hogy a visszaszolgáltatással kapcsolatosan kölcsönösen tájékoztassák egymást.
voxpopuli_hun_005748	20150519-0900-PLENARY-11-hu_20150519-18:36:49_3	Nem értem, hogy milyen alapon osztanak ki Önök minket morálisan, Wikström asszony, milyen alapon lehet morálisan ítélkezni egyesek fölött ebben a teremben.
voxpopuli_hun_005749	20151027-0900-PLENARY-4-hu_20151027-12:33:38_1	Azt bizonyítja ugyanis, hogy az együttműködésre és szolidaritásra épülő közös európai politika minden nehézség ellenére eredményes lehet, míg a kerítésekre, önző bezárkózásra és elutasításra épülő politika kudarcra van ítélve. Ugyanakkor mindannyian tudjuk, hogy vasárnap csak az első lépéseket tettük meg és itt nem elsősorban további határvédelmi akciókra és intézkedésekre gondolok.
voxpopuli_hun_005750	20100907-0900-PLENARY-10-hu_20100907-18:58:30_6	Nyilvánvalóan jobb szabályozásra van szükség, figyelembe véve a méltányos munkának a Nemzetközi Munkaügyi Szervezet által meghatározott leírását, elvárásait és követelményeit.
voxpopuli_hun_005751	20110308-0900-PLENARY-12-hu_20110308-18:41:21_3	Szeretném megköszönni először is Önöknek ezt a rendkívül gyümölcsöző eszmecserét.
voxpopuli_hun_005752	20111213-0900-PLENARY-13-hu_20111213-19:29:35_2	Hiszen sokszor azt hallottam ki belőle, mintha egy két képviselőnek fontosabbak lennének akár az Európai Unióval szomszédos országok problémái, mint maga az Európai Unió problémái. Mindenki, mindannyian elismertük azt, hogy az arab tavasz folyamatai jók, előremutatóak.
voxpopuli_hun_005753	20101214-0900-PLENARY-3-hu_20101214-09:35:56_4	Fontosnak tartjuk az alapjogi biztosi portfólió létrehozását, és kérjük biztos asszonyt, hogy rendszeresen monitorozza a tagállamokat és tegye szóvá ha az alapjogok, a demokrácia alapelvei sérülnek, hogy ezek ne csak a csatlakozás előtt álló tagjelölt országok számára legyenek kötelezőek, hanem később is.
voxpopuli_hun_005754	20120215-0900-PLENARY-14-hu_20120215-19:05:33_15	Ennek a munkának a reményében köszöntöm még egyszer a jelentéstevőt és mindenkit, aki részt vett ebben a munkában.
voxpopuli_hun_005755	20190130-0900-PLENARY-hu_20190130-23:26:24_5	Kérdezem tisztelettel, vajon az Európai Unió miként lép föl, amennyiben akár a saját területén sérelem éri a munkához, a lakhatáshoz vagy a méltányos élethez való jogot?
voxpopuli_hun_005756	20140204-0900-PLENARY-15-hu_20140204-17:12:49_6	és különösen a nyersanyag és energiakérdésekben elrettentő hatású vámokat kell alkalmazni, amelyeknek megtorló jellegűeknek kell lenniük azért, hogy elvegyék a kedvét mindenkinek, aki ilyesmiben töri a fejét.
voxpopuli_hun_005757	20171212-0900-PLENARY-21-hu_20171212-23:13:28_4	Így én arra szeretném felhívni a figyelmet, hogy sajnálatos módon Ukrajnában épp 2016 ban indult el az a folyamat, mely 2017 őszén az új ukrán oktatási törvény oktatási nyelvre vonatkozó cikkelye által csökkenteni szeretné a nemzeti kisebbségek anyanyelvhasználati jogát.
voxpopuli_hun_005758	20111025-0900-PLENARY-4-hu_20111025-10:07:41_0	A mai vita olyan, mint az Állatorvostudományi Egyetemnek a lova, ahol egyetlen lovon ki lehet mutatni az összes állatbetegséget.
voxpopuli_hun_005759	20100707-0900-PLENARY-11-hu_20100707-17:28:59_4	Jelenleg a szerb hatóság a több éve rendszeresen megrendezésre kerülő Egyesült Magyar Ifjúsági Tábor ellen szervezkedik, annak betiltására törekszik.
voxpopuli_hun_005760	20170403-0900-PLENARY-16-hu_20170403-19:40:31_1	Nem csupán a prostitúcióval kapcsolatos hálózatok és bűnözői csoportok ténykedése ad okot aggodalomra, hanem a munkaerőpiaci kizsákmányolás nagyon súlyos esetei, egyfajta modernkori rabszolgaság jelensége is.
voxpopuli_hun_005761	20151125-0900-PLENARY-4-hu_20151125-11:05:10_10	A másik út az egymás iránti tisztelet, elfogadás, a befogadás, a bizalom és az együttműködés útja, amit az Európai Unió, a multikulturális Európa eddig is járt.
voxpopuli_hun_005762	20090325-0900-PLENARY-11-hu_20090325-19:39:56_2	Egy demokratának, egy európainak nem fogadható el az a tény, hogy még ma is, még ebben a Parlamentben is vannak olyanok, akik számára a kommunista diktatúra gaztettei mentegethetők és bocsánatosak.
voxpopuli_hun_005763	20120313-0900-PLENARY-10-hu_20120313-17:32:21_4	Hasonlóképpen elegünk van abból a folyamatból, ami elkezdődött akkor, amikor az Európai Unió megalázó feltételekkel és hazug ígéretekkel becsalogatta Magyarországot az Unióba.
voxpopuli_hun_005764	20150113-0900-PLENARY-6-hu_20150113-11:54:23_5	Egy tagállam kormánya úgy gondolja, hogy tudományos, szociológiai és társadalmi okok miatt nem kívánja engedélyezni egy génmódosított terméknek a termesztését, elindul a folyamat, amelynek a végén az Unió, a Bizottság azt mondhatja, nem, nem fogadom el az érveket!
voxpopuli_hun_005765	20120215-0900-PLENARY-16-hu_20120215-21:25:01_2	A fogyatékossággal élők nagy aránya az információhoz való hozzáféréstől van elzárva, mint például a hallássérültek, a nagyothallók, vagy a mostani vita alkalmával a vakok és gyengén látók.
voxpopuli_hun_005766	20131120-0900-PLENARY-17-hu_20131120-18:54:48_2	Amit itt a képviselőtársaim elmondtak, az 90 ban saját tagállamaik kormányának a kritikája volt és nem a COSME programról alkotott vélemény.
voxpopuli_hun_005767	20100920-0900-PLENARY-13-hu_20100920-20:52:15_0	Hálás vagyok de Lange asszonynak, mivel a téma kapcsán elmondhatom személyes tapasztalataimat.
voxpopuli_hun_005768	20200210-0900-PLENARY-hu_20200210-20:08:48_7	Fontos ezért, hogy önmagában a technológiai fejlődés sosem válthatja ki teljesen az emberi tényezőt.
voxpopuli_hun_005769	20110705-0900-PLENARY-4-hu_20110705-11:51:41_6	A GMO alkalmazásának a lehetőségét nem szabad a tagállamok szabad rendelkezésére bocsátani, hanem egyenlőre be kell tiltani, amíg a GMO termelés biztonságossá nem válik.
voxpopuli_hun_005770	20170705-0900-PLENARY-7-hu_20170705-11:58:19_4	Tudjuk, hogy Észtország is a kezdeményezői között volt annak a polgári mozgalomnak, amely a bérunióért harcol „egyenlő munkáért egyenlő bér elve alapján.
voxpopuli_hun_005771	20120524-0900-PLENARY-4-hu_20120524-11:06:13_3	Itt legalább három olyan pont van, ami tudatos megsértése a szerződésnek.
voxpopuli_hun_005772	20120118-0900-PLENARY-18-hu_20120118-17:21:40_3	Húsz évvel a rendszerváltás után oda jutottunk, hogy végre rendbe, európaivá tehetjük jogrendszerünket.
voxpopuli_hun_005773	20121022-0900-PLENARY-22-hu_20121022-22:27:54_3	Van egy nagyon fontos kérdés, amit még kiemelnék, ez pedig a turizmus kérdése.
voxpopuli_hun_005774	20130313-0900-PLENARY-4-hu_20130313-11:08:26_7	Aggódom, hogy a válság elleni küzdelemben és az ambiciózus célok megfogalmazása közepette elfeledkezünk arról, hogy mi végre is tesszük a dolgunkat.
voxpopuli_hun_005775	20151124-0900-PLENARY-13-hu_20151124-19:48:48_10	Világossá kell tennünk, hogy a társadalmi integráció nem a kulturális önazonosság feladását, nem erőszakos kulturális asszimilációt jelent.
voxpopuli_hun_005776	20170911-0900-PLENARY-24-hu_20170911-22:51:47_3	Igen, ez az Unióban történik, nem valahol a harmadik világban.
voxpopuli_hun_005777	20150907-0900-PLENARY-16-hu_20150907-19:10:32_6	És a nemzeti önrendelkezés keretében, ha pl.
voxpopuli_hun_005778	20120202-0900-PLENARY-8-hu_20120202-11:13:21_0	Egyértelműen üdvözlendő, hogy az Európai Parlament véleményezi az Európában folyó adópolitikai kérdéseket.
voxpopuli_hun_005779	20201021-0900-PLENARY-hu_20201021-11:47:35_11	Éppen ezért a jelentésemben, minden tekintetben azt szeretném elérni, hogy a legkiszolgáltatottabbaknak, a legelesettebbeknek is nyújtsunk segítséget.
voxpopuli_hun_005780	20121120-0900-PLENARY-10-hu_20121120-17:18:01_15	Másfelől azonban megfelelő szabályozásra és hatékony felügyeletre van szükség ahhoz, hogy a kitermelés során a vállalatok a legszigorúbb környezetvédelmi előírásoknak is megfeleljenek.
voxpopuli_hun_005781	20140311-0900-PLENARY-17-hu_20140311-21:10:42_2	A Bizottság előttünk fekvő javaslata azonban elhibázott, mivel egyértelműen a nagyobb szolgáltatóknak kedvez, és ellehetetleníti a kisebb szolgáltatók, elsősorban az újonnan belépő tagállamok, köztük Magyarországon működő légiirányítók működését.
voxpopuli_hun_005782	20151216-0900-PLENARY-13-hu_20151216-16:01:13_1	lépni kell, és gyökerében el kell vágni a jelenséget.
voxpopuli_hun_005783	20121119-0900-PLENARY-13-hu_20121119-19:29:00_4	Ezzel a magyar kormány ismét visszamenőleges hatállyal vont meg olyan jogosultságot magyar állampolgároknak egy csoportjától, amely szerzett jog volt.
voxpopuli_hun_005784	20150311-0900-PLENARY-16-hu_20150311-23:24:23_10	Az én hazámban, Magyarországon most éppen egy ilyen kormány van hatalmon.
