voxpopuli_spa_003785	20190918-0900-PLENARY-es_20190918-09:31:07_11	El actual responsable del caos tiene un nombre Boris Johnson.
voxpopuli_spa_003912	20171023-0900-PLENARY-14-es_20171023-17:55:55_3	Son objetivos estupendos y que tenemos que perseguir, pero a veces el fin no justifica los medios, sobre todo si estos medios con los que contamos no son viables ni asumibles desde el punto de vista práctico y económico para los sectores que tienen que asumirlos y aplicarlos.
voxpopuli_spa_003913	20181002-0900-PLENARY-es_20181002-22:20:27_6	Es profundamente antieuropeo que haya fronteras para los derechos fundamentales, que cuando un europeo cambie su residencia dentro de la Unión se convierta en ciudadano de segunda.
voxpopuli_spa_003914	20110706-0900-PLENARY-8-es_20110706-15:20:16_1	Traigo, señora Ashton, esta anécdota a colación, no porque Egipto sea un país afectado por la primavera árabe, sino porque estamos viviendo en la Unión Europea una encrucijada histórica falta de confianza en nuestro proyecto, crisis de la deuda, cuestionamiento de los logros fundamentales mejor valorados por nuestros ciudadanos
voxpopuli_spa_003915	20110607-0900-PLENARY-3-es_20110607-09:29:16_8	Las autoridades alemanas, además, dadas las irresponsables acusaciones vertidas, deberían apoyar esta solución económica, sin duda, y desde el principio, y sufragar también, con fondos propios, suyos, campañas de comunicación para restablecer la confianza de los consumidores en las producciones hortofrutícolas, ahora perdida.
voxpopuli_spa_003916	20150430-0900-PLENARY-3-es_20150430-09:37:36_4	Si el EFSI va a ser, o vamos a conseguir que sea, el auténtico banco de desarrollo que el BEI no es, ¡bienvenido sea! Ojalá el espíritu del EFSI llegue, impregne, a todo el Banco Europeo de Inversiones.
voxpopuli_spa_003917	20120313-0900-PLENARY-15-es_20120313-21:18:13_0	Señor Presidente, el sector de la pesca en Europa está atravesando por malos momentos y si además hablamos del sector de la pesca de países que tienen programas de ajuste económico, la situación aún es más dramática.
voxpopuli_spa_003918	20150708-0900-PLENARY-8-es_20150708-16:13:28_2	El discurso y los conceptos son tan importantes como el combate judicial o policial.
voxpopuli_spa_003919	20170214-0900-PLENARY-8-es_20170214-12:53:08_3	Solo quiero señalarles una cosa de la que habla este informe y para la que sirve este informe.
voxpopuli_spa_003920	20120314-0900-PLENARY-6-es_20120314-10:41:43_9	Le pido a la Comisión que preste la máxima atención a este asunto.
voxpopuli_spa_003921	20170913-0900-PLENARY-16-es_20170913-19:33:16_2	Y dentro de esa agenda, teníamos como uno de los ejes fundamentales el impulso de la Unión de Mercados de Capitales.
voxpopuli_spa_003922	20151029-0900-PLENARY-6-es_20151029-10:44:26_0	Señora Presidenta, es de agradecer que el informe De Monte se centre en la importancia también del turismo cultural europeo y que pida a la Comisión Europea que siga apoyando económicamente a las llamadas rutas culturales europeas. Estas rutas son muy importantes, en primer lugar, para el desarrollo de un turismo temático, selectivo, más exigente,
voxpopuli_spa_003923	20170314-0900-PLENARY-12-es_20170314-20:00:49_3	Esto se ve muy bien.
voxpopuli_spa_003924	20150211-0900-PLENARY-3-es_20150211-10:57:41_0	Querido colega, le recuerdo que en 1953 los países europeos perdonaron buena parte de la deuda a Alemania y, como sabe usted, los tres grandes problemas de Grecia —la desigualdad, el paro y la deuda— no se han solucionado con las políticas que se han aplicado hasta ahora.
voxpopuli_spa_003925	20110706-0900-PLENARY-5-es_20110706-13:22:19_1	Deseo agradecer a sus Señorías que hayan accedido a mi ruego, por esta vez, sobre la urgencia de adoptar este acuerdo en segunda lectura, pero, sobre todo, quiero transmitirles el agradecimiento de las asociaciones de víctimas y familiares de víctimas de los accidentes de tráfico en las carreteras europeas, que hace más de tres años esperan este primer paso, crucial para evitar centenares de muertos más cada año.
voxpopuli_spa_003926	20151214-0900-PLENARY-12-es_20151214-20:28:06_2	Como víctimas europeas, creo que esos dos policías de la embajada española en la ciudad de Kabul merecen ser recordados en este debate sobre víctimas del terrorismo.
voxpopuli_spa_003927	20170614-0900-PLENARY-16-es_20170614-17:07:29_5	Le respetamos, le felicitamos por su triunfo y esperamos que, efectivamente, Malta sea uno de los países punteros en esta lucha por la justicia fiscal y por la lucha contra los paraísos fiscales.
voxpopuli_spa_003928	20170613-0900-PLENARY-14-es_20170613-18:21:38_3	Y eso es lo que está sucediendo con esto.
voxpopuli_spa_003929	20191021-0900-PLENARY-es_20191021-20:07:57_2	Se trata de líneas políticas y de idearios concretos que esgrimen sus organizaciones políticas, no de cada uno y de cada una individualmente.
voxpopuli_spa_003930	20150311-0900-PLENARY-3-es_20150311-10:37:25_4	Esto es un freno al nacionalismo ruso.
voxpopuli_spa_003931	20151111-0900-PLENARY-14-es_20151111-20:03:46_3	Los reguladores nacionales tienen ahora la competencia de evaluar cualquier tipo de práctica y podrán intervenir ante cualquier uso abusivo aplicando las sanciones que correspondan.
voxpopuli_spa_003932	20110323-0900-PLENARY-15-es_20110323-20:56:09_6	Por tanto, están sometidos a su tratamiento en la red.
voxpopuli_spa_003933	20190212-0900-PLENARY-es_20190212-15:38:34_3	El fuego de ese infierno no se ha extinguido, pero ha llegado el momento de pensar en la reconstrucción.
voxpopuli_spa_003934	20140916-0900-PLENARY-18-es_20140916-21:41:58_2	El CETA va a destruir también la agricultura campesina, especialmente la producción de vacuno de carne en la pequeña y mediana explotación familiar.
voxpopuli_spa_003935	20171213-0900-PLENARY-20-es_20171213-20:46:07_0	Señor presidente, yo me sumo a la preocupación que está mostrando esta Cámara por la reaparición del fascismo y por su simbología.
voxpopuli_spa_003936	20151214-0900-PLENARY-10-es_20151214-18:33:47_7	Hay que integrar y no crear, bueno, un poco este desasosiego que a veces se crea sobre quién tiene prioridades y quién no.
voxpopuli_spa_003937	20130417-0900-PLENARY-13-es_20130417-16:53:36_2	Y es que Turquía nunca podrá formar parte de la Unión Europea mientras mantenga ocupado el norte de la República de Chipre, ese 37 de territorio que está ocupado por 40 soldados turcos.
voxpopuli_spa_003938	20181004-0900-PLENARY-es_20181004-12:38:14_10	Es fundamental impulsar un cambio de modelo productivo para que el trabajo de muchas familias no dependa de la economía de la guerra.
voxpopuli_spa_003939	20151014-0900-PLENARY-15-es_20151014-21:37:08_2	De un lado, el pésimo manejo de la crisis y la exasperación de las desigualdades han conducido a la radicalización de un colectivo musulmán dentro de la Unión Europea proclive a actitudes netamente antisemitas y por tanto persecutorias de la identidad judía.
voxpopuli_spa_003940	20100120-0900-PLENARY-5-es_20100120-12:50:04_69	Ésos son los intereses europeos.
voxpopuli_spa_003941	20141023-0900-PLENARY-7-es_20141023-11:49:02_7	El Gobierno de Peña Nieto tardó en reaccionar, sí, y erró gravemente al darle un tratamiento local al principio.
voxpopuli_spa_003942	20091123-0900-PLENARY-13-es_20091123-20:21:36_10	Un ejemplo no se pueden debatir seis informes en poco más de hora y media, en una tarde, sobre temas tan importantes.
voxpopuli_spa_003943	20100518-0900-PLENARY-18-es_20100518-23:05:53_21	La respuesta de la Comisión.
voxpopuli_spa_003944	20140917-0900-PLENARY-3-es_20140917-10:29:25_0	Señor Presidente, las medidas que vamos tomando en cada Cumbre avalan dos ideas que solo desde una posición común podemos hacer frente a los retos globales y que no podemos seguir sustituyendo con parches la construcción de una gobernanza económica y también política.
voxpopuli_spa_003945	20180911-0900-PLENARY-witholdRO-es_20180911-11:13:36_1	Y hablando del futuro de la Unión Europea nos hubiera gustado que el señor González Pons nos hubiera dicho, en lugar de atacar tanto a Grecia, si van a ir de aliados con los populistas de Orban y de Salvini a las próximas elecciones.
voxpopuli_spa_003946	20100706-0900-PLENARY-3-es_20100706-10:45:30_51	está lo importante es que SWIFT se aprobara, y el Parlamento espero que lo apruebe
voxpopuli_spa_003947	20140402-0900-PLENARY-11-es_20140402-15:45:10_1	bases sólidas para competir, para crecer y para crear empleo.
voxpopuli_spa_003948	20140225-0900-PLENARY-3-es_20140225-10:17:55_6	a fin de poder conseguir mejoras en la productividad y seguir impulsando nuestras exportaciones que, sin duda alguna, serán el motor del crecimiento.
voxpopuli_spa_003949	20170404-0900-PLENARY-18-es_20170404-20:23:37_1	Creo que el debate ha sido bastante clarificador.
voxpopuli_spa_003950	20180529-0900-PLENARY-19-es_20180529-17:19:53_2	Se ha pedido, hace un momento, un liderazgo de la Unión Europea en estos tiempos de proteccionismos.
voxpopuli_spa_003951	20180704-0900-PLENARY-es_20180704-19:54:28_1	La votación tendrá lugar mañana.
voxpopuli_spa_003952	20200210-0900-PLENARY-es_20200210-23:03:53_5	el Fondo para la Transición Justa necesitará más fondos.
voxpopuli_spa_003953	20191217-0900-PLENARY-es_20191217-16:13:42_5	desde luego, no cuenten conmigo.
voxpopuli_spa_003954	20180417-0900-PLENARY-12-es_20180417-16:07:28_13	Yo creo que es necesario también intensificar y termino con esta consideración la lucha contra las mafias que trafican con las vidas y con los sueños de tantos seres humanos.
voxpopuli_spa_003955	20171114-0900-PLENARY-14-es_20171114-16:18:01_1	Yo creo que condenamos el asesinato con la misma fuerza y defendemos los mismos valores europeos en relación con Malta y con los países de la Unión Europea.
voxpopuli_spa_003956	20170404-0900-PLENARY-15-es_20170404-16:24:09_2	Una contestación que llega tarde y mal, vía tras el acuerdo unánime de esta Cámara de reprobar su actitud, pero ya es muy tarde.
voxpopuli_spa_003957	20140916-0900-PLENARY-19-es_20140916-22:14:35_12	Los Estados miembros pueden aplicar el artículo 31 de la Declaración de Doha de 2001, promovida por la Organización Mundial del Comercio
voxpopuli_spa_003958	20100921-0900-PLENARY-13-es_20100921-22:33:21_0	Señor Presidente, señor Comisario, asuntos como el desempleo, el desarrollo rural, la agricultura, la pesca, el transporte, el fomento de las energías renovables y la protección del medio ambiente son esenciales para nuestras islas, regiones montañosas y regiones poco pobladas.
voxpopuli_spa_003959	20160622-0900-PLENARY-13-es_20160622-16:42:21_3	Secuestros constantes, desapariciones, abusos sexuales a mujeres y niños y más de mil violaciones diarias hablo de agresiones indiscriminadas, reclutamiento forzoso de niños.
voxpopuli_spa_003960	20151006-0900-PLENARY-3-es_20151006-10:03:07_4	El conjunto de recomendaciones que adquirí en estas reuniones se puede resumir en las siguientes que Europa trabaje, se implique en la solución a la guerra de Siria.
voxpopuli_spa_003961	20160704-0900-PLENARY-17-es_20160704-23:12:14_0	Señor Presidente, este es el símbolo de la asociación Actays. Intervengo hoy en un paso más del reto de Actays en el mundo para despertar sensibilidad y dar visibilidad a las enfermedades raras, especialmente aquellas relacionadas con la gangliosidosis Tay Sachs y Sandhoff.
voxpopuli_spa_003962	20151014-0900-PLENARY-10-es_20151014-18:22:20_2	En ocasiones, además, este mecanismo solo ha beneficiado a las industrias más contaminantes.
voxpopuli_spa_003963	20110622-0900-PLENARY-15-es_20110622-21:11:24_1	La lentitud, la insuficiencia y la visión puramente intergubernamental agravan el impacto de la crisis y debilitan la credibilidad del proyecto europeo.
voxpopuli_spa_003964	20160706-0900-PLENARY-13-es_20160706-15:58:43_0	Señor Presidente, señora Mogherini, yo creo que esta remozada política común de seguridad y defensa va a resultar el mismo fracaso que la anterior.
voxpopuli_spa_003965	20191127-0900-PLENARY-es_20191127-18:51:39_16	Y luego, el trabajo que podemos hacer.
voxpopuli_spa_003966	20180116-0900-PLENARY-15-es_20180116-18:17:05_0	Señora presidenta, a día de hoy, Irán sigue financiando abiertamente a organizaciones terroristas.
voxpopuli_spa_003967	20200710-0900-PLENARY-es_20200710-10:39:25_4	Pero también esta crisis nos debe hacer pensar sobre el destino y el empleo de estos fondos.
voxpopuli_spa_003968	20180613-0900-PLENARY-6-es_20180613-12:35:25_1	Todos conocemos la ventaja del programa Erasmus, pero yo creo que también es necesario que los jóvenes estudien en profundidad los antecedentes, objetivos y funcionamiento de las instituciones de la Unión Europea, ese camelopardo tan difícil de definir al que usted se refería hace un minuto.
voxpopuli_spa_003969	20130115-0900-PLENARY-13-es_20130115-18:57:37_9	Aunque no es el último, es sin duda alguna un paso importante en su
voxpopuli_spa_003970	20150518-0900-PLENARY-19-es_20150518-22:11:07_2	Y entendemos esto como una forma de hacer frente a los populismos, a formas de patologías políticas, de fanatismo, como antídoto contra la extensión del radicalismo terrorista de los yihadistas y, también, contra las mentiras de los amigos de la impunidad en los escenarios de fin del terrorismo, como por ejemplo en mi país, en el País Vasco.
voxpopuli_spa_003971	20141021-0900-PLENARY-5-es_20141021-12:22:49_5	Por ello, creemos que este Semestre Europeo da el paso de la visión del patrón euro que hemos sufrido en los últimos años a una auténtica Unión económica, y creemos que la nueva Comisión tiene que liderarlo con un compromiso nítido.
voxpopuli_spa_003972	20091215-0900-PLENARY-17-es_20091215-23:13:39_13	Pero, por último, se ha invocado la subsidiariedad.
voxpopuli_spa_003973	20201021-0900-PLENARY-es_20201021-15:21:06_5	Esto es especialmente grave en sectores como la industria, donde vemos a menudo deslocalizaciones que se han aprovechado de subvenciones, han condenado al paro a miles de trabajadores y nos han dejado sin capacidad de producir lo que necesitamos.
voxpopuli_spa_003974	20140716-0900-PLENARY-7-es_20140716-10:56:42_3	Por eso, es de lamentar que se cancelara la reunión prevista en Turín el pasado 11 de julio.
voxpopuli_spa_003975	20190916-0900-PLENARY-es_20190916-18:29:50_2	De eso sabemos mucho en España, el segundo país con mayor superficie boscosa de toda Europa. Los bosques españoles nos han convertido en el país de la Unión Europea más rico en biodiversidad, y sus 7 millones de árboles absorben el 37 del CO2 que emitimos.
voxpopuli_spa_003976	20150325-0900-PLENARY-15-es_20150325-20:40:32_4	La Unión Europea tiene que favorecer, al alza y no a la baja, la armonización de las condiciones de vida y de trabajo un salario mínimo no puede significar la bajada del salario mínimo en algunos países de la Unión.
voxpopuli_spa_003977	20200916-0900-PLENARY-es_20200916-10:49:02_20	Porque es totalmente inaceptable que el peso de la recaudación fiscal en Europa caiga sobre la renta y los bolsillos de los trabajadores y las trabajadoras, y no sobre los grandes movimientos financieros y los especuladores.
voxpopuli_spa_003978	20101213-0900-PLENARY-9-es_20101213-17:24:56_6	Parafraseando a Miguel Hernández, que tenemos que hablar de muchas cosas, o con el verso de Vallejo, repetido en Estocolmo esta semana pasada por Vargas Llosa, Hay, hermanos, muchísimo que hacer, en esta Europa
voxpopuli_spa_003979	20151124-0900-PLENARY-13-es_20151124-19:15:46_3	Por respeto a las víctimas, por defensa de nuestro derecho a la vida y a la libertad, debemos ser eficaces en la prevención y detección temprana de la fanatización violenta.
voxpopuli_spa_003980	20190703-0900-PLENARY-ORIGINAL-es_20190703-09:21:55_0	Señor presidente, es un orgullo representar la candidatura de un Grupo que es humilde en número pero que está firmemente comprometido con la defensa de los intereses de los pueblos de Europa y, en especial, de la gente trabajadora.
voxpopuli_spa_003981	20180613-0900-PLENARY-17-es_20180613-17:09:29_4	Hay que darles la vuelta a las políticas xenófobas de la Europa fortaleza, instaurando nuevas políticas basadas en la justicia, la solidaridad y la cooperación, que conformen una nueva política migratoria común
voxpopuli_spa_003982	20190917-0900-PLENARY-es_20190917-11:08:05_0	Señora presidenta, con Alemania al borde de la recesión, el riesgo de un duro y la guerra comercial, pedirle en estos momentos al Banco Central Europeo que suba los tipos y no continúe con sus políticas no convencionales es un auténtico suicidio y, además, no seguiría con el mandato que tiene encomendado.
voxpopuli_spa_003983	20190418-0900-PLENARY-es_20190418-10:37:21_8	Exigimos a la Unión Europea que prohíba la asesoría militar y la venta de armas y de equipamiento militar a Camerún, porque mientras el respeto de los derechos humanos se quede en palabras y no en hechos seremos cómplices de sus delitos.
voxpopuli_spa_003984	20160413-0900-PLENARY-19-es_20160413-18:43:47_3	Pero es cierto que el proceso de adhesión se está contaminando negativamente con la cuestión de los refugiados. Peor aún, Turquía está utilizando esta cuestión como mercancía de intercambio político.
voxpopuli_spa_003985	20150429-0900-PLENARY-17-es_20150429-15:53:55_4	el acaparamiento de tierras, la pobreza ―no podemos olvidar que la mayoría de la población de Kenia vive por debajo del umbral de la pobreza―, los centenares de miles de refugiados, la mortalidad infantil, el hambre y la desnutrición.
voxpopuli_spa_003986	20141124-0900-PLENARY-16-es_20141124-22:10:39_5	Ellas son fuente de empleo y de creación de riqueza, por lo que facilitar su actividad debe ser una de las premisas que guíen nuestra acción política.
voxpopuli_spa_003987	20131009-0900-PLENARY-19-es_20131009-22:18:08_0	Señora Presidenta, vamos a ver, independientemente de lo que cada cual haya votado al Acuerdo TFTP, lo cierto es que hay algo de truculento en un debate en el que se invoca una y otra vez la necesidad de sujetarnos a los hechos y lo que constatamos es que, a pesar de los esfuerzos de este Parlamento por verificar los hechos, representando la preocupación legítima de millones de ciudadanos que se sienten escandalizados
voxpopuli_spa_003988	20170613-0900-PLENARY-16-es_20170613-19:39:52_0	Señora presidenta, en torno a dieciocho millones de personas, dos tercios del país, sufren hambre en Yemen y requieren ayuda humanitaria urgente, porque la hambruna lo es sin precedentes.
voxpopuli_spa_003989	20100907-0900-PLENARY-10-es_20100907-18:13:16_4	Y no seríamos consecuentes si solamente pensáramos en la creación de empleo en el futuro y permitiéramos que se destruyeran los empleos existentes, como por ejemplo ocurre en determinados sectores, como es el caso actualmente del carbón, donde se puede perder en toda Europa un gran número de empleos.
voxpopuli_spa_003990	20200210-0900-PLENARY-es_20200210-17:54:51_1	Pero si uno consolida esas diecinueve políticas, en búsqueda de cuál es la posición fiscal en el conjunto de la zona del euro, el resultado puede ser coherente o no con las necesidades de la Unión Monetaria, con las necesidades cíclicas de la Unión Monetaria.
voxpopuli_spa_003991	20180704-0900-PLENARY-es_20180704-19:31:35_6	El terrorismo que nos ha atacado en los últimos años nos obliga a tomar medidas que ayuden a la identificación de las personas que puedan representar un riesgo antes de su llegada a las fronteras de la Unión.
voxpopuli_spa_003992	20140916-0900-PLENARY-15-es_20140916-18:54:46_1	Y es una prioridad porque será en los próximos años uno de los ejes de crecimiento de Europa.
voxpopuli_spa_003993	20180417-0900-PLENARY-4-es_20180417-12:26:29_4	¿No sería más útil buscar el aval europeo para esa acción diplomática decidida y definitiva que evite el dolor y el sufrimiento en Siria?
voxpopuli_spa_003994	20100922-0900-PLENARY-4-es_20100922-11:50:49_14	Hoy ofrecemos los primeros frutos, pero este compromiso marca una divisoria en la evolución de las finanzas y la democracia europea, porque la democracia es legislar y supervisar, velar para que las leyes sean efectivas.
voxpopuli_spa_003995	20150610-0900-PLENARY-16-es_20150610-20:32:11_16	las que había ―unas veinte― han sido cerradas.
voxpopuli_spa_003996	20100706-0900-PLENARY-3-es_20100706-10:02:58_13	Por último, los avances hechos en el camino hacia un mejor gobierno económico europeo no pueden ser, en modo alguno, imputados a su Presidencia, clamorosamente ausente en las cuestiones más relevantes.
voxpopuli_spa_003997	20101110-0900-PLENARY-15-es_20101110-22:07:20_6	Las instituciones democráticas están firmemente asentadas desde 1996, cuando se celebraron las primeras elecciones presidenciales directas.
voxpopuli_spa_003998	20200915-0900-PLENARY-es_20200915-09:36:15_2	Y ser candidato significa converger en todo en valores, en análisis, en intereses —incluidos los estratégicos—. Y sin embargo Turquía diverge en todo de la Unión Europea.
voxpopuli_spa_003999	20201007-0900-PLENARY-es_20201007-11:58:49_7	La Unión Europea debe ampliar las sanciones a los responsables políticos y también a los más de cuarenta autores de crímenes mencionados expressis verbis en la Resolución, en el informe del Consejo de Derechos Humanos.
voxpopuli_spa_004000	20191113-0900-PLENARY-es_20191113-20:21:57_3	La presión popular y la presión internacional sobre esa situación han forzado la dimisión de Evo Morales.
voxpopuli_spa_004001	20190212-0900-PLENARY-es_20190212-15:37:13_9	Pienso en la grave crisis de los refugiados del año 2015, en su impacto enorme en las fronteras de la Unión Europea.
voxpopuli_spa_004002	20120911-0900-PLENARY-21-es_20120911-17:36:52_3	declaración del Ministro de la Presidencia en ejercicio del Consejo, diciendo que se van a producir nuevas sanciones contra Siria
voxpopuli_spa_004003	20120329-0900-PLENARY-12-es_20120329-13:25:07_4	Y eso que digo para Chipre lo digo también para mi país, para Gibraltar, que es español y no debe ser ocupado, y los españoles no olvidaremos jamás esa situación.
voxpopuli_spa_004004	20130910-0900-PLENARY-18-es_20130910-20:34:02_6	Pero si dejamos el alineamiento y hablamos de la anguila, desde luego tendremos que decir que es cierto que la población de anguila ha disminuido en un 95 o un 99 si comparamos los niveles actuales con los de los años 60 y 80. Y también lo es que la Unión Internacional para la Conservación de la Naturaleza ha clasificado la anguila como una especie en peligro crítico.
voxpopuli_spa_004005	20200114-0900-PLENARY-es_20200114-19:39:11_3	Pero fue también el año en que las mujeres, ante el avance de la extrema derecha, salieron masivamente a las calles a recordarnos que la revolución será feminista o no será.
voxpopuli_spa_004006	20160413-0900-PLENARY-18-es_20160413-17:50:33_2	Pero este Parlamento no ha arrastrado los pies y, por tanto, salgo al paso de las críticas que se han escuchado, que pretenden que este Parlamento ha retrasado innecesariamente la aprobación legislativa de este PNR, porque no es verdad. Este Parlamento lo ha debatido largamente para cumplir su trabajo y establecer un equilibrio razonable entre libertad y seguridad, delimitando
voxpopuli_spa_004007	20170302-0900-PLENARY-3-es_20170302-10:09:40_5	Por eso, deberíamos dedicar más imaginación, interés y recursos a recordar qué resultados cosecharon estas recetas, a poner ante el espejo de nuestra historia algunos lamentables discursos que sintonizan con las arengas que justificaron y propiciaron nuestras tragedias pasadas y a subrayar que la Unión Europea fue la respuesta eficaz y útil frente a ese lenguaje de egoísmo, insolidaridad, guerra, violencia y pobreza.
voxpopuli_spa_004008	20190313-0900-PLENARY-es_20190313-16:19:23_2	Y para eso también es necesario que seamos capaces de escuchar fuera de estas cuatro paredes y de entender que es necesario que entendamos que la gente está cansada de la política de austeridad.
voxpopuli_spa_004009	20110926-0900-PLENARY-13-es_20110926-20:18:06_2	Por eso, el informe parte de la base de recoger de abajo hacia arriba esa diversidad, potenciarla, utilizando para ello la formación, la innovación y las nuevas tecnologías, y construir así una marca común europea de turismo de calidad.
voxpopuli_spa_004010	20150428-0900-PLENARY-12-es_20150428-15:38:00_2	No solo se trata, señor Vicepresidente y señor Comisario, de poder escuchar, sino de poder leer.
voxpopuli_spa_004011	20140414-0900-PLENARY-16-es_20140414-20:27:37_6	El actual sistema nos obliga a demostrar al tercer país que sus envíos están contaminados.
voxpopuli_spa_004012	20150225-0900-PLENARY-8-es_20150225-17:59:51_2	Ahora que vamos en la buena dirección no podemos quedarnos solo en palabras.
voxpopuli_spa_004013	20200709-0900-PLENARY-es_20200709-11:22:51_70	Exactamente igual.
voxpopuli_spa_004014	20190326-0900-PLENARY-es_20190326-14:19:42_0	Señor presidente, la evasión y la elusión fiscales es un asunto que mina nuestras economías, detrae recursos que pueden ser dedicados al bienestar de la mayoría y deteriora la confianza pública en las instituciones.
voxpopuli_spa_004015	20131008-0900-PLENARY-8-es_20131008-14:15:27_2	Además, la crisis ha servido para liderar, como en el caso del Estado español, políticas recentralizadoras que alejan la inversión del ámbito local y regional, el espacio natural de desarrollo, innovación y crecimiento.
voxpopuli_spa_004016	20180115-0900-PLENARY-12-es_20180115-19:50:39_10	En cuanto a los objetivos, algo que preocupa a la Comisión y también a nosotros, el compromiso que propuse y se adoptó en la Comisión de Pesca es ambicioso y equilibrado.
voxpopuli_spa_004017	20110307-0900-PLENARY-24-es_20110307-20:26:01_4	En segundo lugar, dado el carácter periférico, son muy importantes los transportes —la llamada conectividad—, tanto entre las áreas que componen la región atlántica como, y sobre todo, con el resto de la Unión. Por ello, las redes transeuropeas de transporte, las autopistas del mar, las conexiones energéticas deben gozar de atención prioritaria. En cuanto a Galicia, mi circunscripción, estoy pensando también en la conexión por alta velocidad con el norte de Portugal y en el Transcantábrico.
voxpopuli_spa_004018	20190212-0900-PLENARY-es_20190212-21:27:45_6	¿Y saben cuál es la última ocurrencia de esta nueva ola ultraconservadora?
voxpopuli_spa_004019	20171115-0900-PLENARY-5-es_20171115-11:27:15_3	Así que exigimos al Gobierno griego que no siga reteniendo a estas personas en las islas.
voxpopuli_spa_004020	20150211-0900-PLENARY-17-es_20150211-22:51:11_13	¿Los ciudadanos o las multinacionales?
voxpopuli_spa_004021	20170214-0900-PLENARY-14-es_20170214-17:18:13_2	Ucrania no puede convertirse en un nuevo conflicto congelado, en un lugar donde se quebranta por la vía de los hechos la legalidad internacional y donde se ponen en peligro la paz, la seguridad y la estabilidad internacional.
voxpopuli_spa_004022	20190917-0900-PLENARY-es_20190917-18:07:45_5	Por eso, no basta con destinar fondos europeos, y mucho menos permitir que un neofascista los maneje.
voxpopuli_spa_004023	20151216-0900-PLENARY-17-es_20151216-20:37:43_2	Yo creo que este ejercicio va a ser realmente positivo y, por ello, animo también a los demás a que apoyen este informe, con las salvedades necesarias, pero, en todo caso, el informe en sí mismo es muy positivo.
voxpopuli_spa_004024	20150211-0900-PLENARY-13-es_20150211-19:56:04_0	Señora Presidenta, con Frontex estamos construyendo la Europa de la fortaleza, donde la política migratoria es simplemente una parte de una supuesta política de seguridad restricción de visados, construcción de muros y vallas asesinas, militarización del control fronterizo, repatriaciones forzadas, subcontratación del control migratorio a países no democráticos.
voxpopuli_spa_004025	20151008-0900-PLENARY-3-es_20151008-09:09:18_2	Yo quiero utilizar mi intervención para preguntar a la Comisión ¿qué piensa hacer en la práctica para eliminar el sesgo de género que existe a la hora de aplicar las políticas de igualdad?
voxpopuli_spa_004026	20151216-0900-PLENARY-4-es_20151216-11:06:11_0	Señor Ujazdowski, lo importante es buscar soluciones. No es que seamos tozudos, es que hay que pasar de las palabras a los hechos, porque esa gente necesita ser acogida. Porque, si no, tendríamos que decir a la opinión pública que renunciamos a nuestro Derecho humanitario internacional, que renunciamos a lo que hemos aceptado, como son los valores fundamentales de acogida de los que huyen de la guerra.
voxpopuli_spa_004027	20141022-0900-PLENARY-10-es_20141022-16:17:55_2	Y es el pueblo kurdo quien debe poder contar con los medios necesarios para resistir y vencer, tanto ante la amenaza del Estado Islámico como frente a la actitud de los Estados que ocupan su territorio.
voxpopuli_spa_004028	20180116-0900-PLENARY-14-es_20180116-15:15:04_18	Porque tenemos derecho a decir que el proceso electoral no interrumpa las elecciones, no interrumpa la paz.
voxpopuli_spa_004029	20150128-0900-PLENARY-9-es_20150128-18:45:53_33	Estimadas diputadas y diputados, el éxito para la Unión Europea pasa por ser capaces de hablar con una sola voz Parlamento, Comisión y Estados miembros.
voxpopuli_spa_004030	20180115-0900-PLENARY-12-es_20180115-20:41:54_9	sabe. Y las va a haber en un año, si se ponen de acuerdo, o en un año más seis meses si no lo hacen y lo hará la propia Comisión.
voxpopuli_spa_004031	20130417-0900-PLENARY-17-es_20130417-20:45:05_10	En la comisión, a nivel interno, hemos realizado numerosas reuniones para buscar alternativas políticas.
voxpopuli_spa_004032	20141215-0900-PLENARY-17-es_20141215-21:15:08_3	Es casi imposible —y seguro que lo compartimos— separar IDi de la educación superior, ya que es en este ámbito donde es posible lograr avanzar más rápidamente en la colaboración entre diferentes Estados, utilizando, por ejemplo, estudios conjuntos, másteres conjuntos, programas de movilidad, de estudiantes, de másteres, doctorados, centros universitarios mixtos,
voxpopuli_spa_004033	20150429-0900-PLENARY-17-es_20150429-15:53:55_6	Las potencias occidentales y las multinacionales tienen que dejar de saquear África, sacar sus garras de la región y respetar la soberanía de los pueblos para que ellos sean los dueños de sus destinos y de sus recursos.
voxpopuli_spa_004034	20160609-0900-PLENARY-16-es_20160609-15:30:27_11	Es un debate de cómo la Unión Europea se ha alejado tanto de los principios democráticos que su actividad política no resiste la luz y los taquígrafos.
voxpopuli_spa_004035	20111114-0900-PLENARY-16-es_20111114-20:29:09_1	Por un lado, debemos tener en cuenta las tradiciones culturales y la importante contribución sostenible en algunos Estados, como el mío, del juego a la sociedad, a través de la educación, la cultura y el deporte.
voxpopuli_spa_004036	20181023-0900-PLENARY-es_20181023-22:10:03_6	Los gastos de personal tienen que ser separados por categorías, por sexo, por función, por grado y por competencia profesional.
voxpopuli_spa_004037	20130520-0900-PLENARY-14-es_20130520-19:32:30_3	2000. Sin embargo, lamento que el texto no recoja la enmienda de mi Grupo, que alertaba sobre el impacto de las prospecciones sobre las actividades pesqueras, turísticas y de captación de agua de mar para desalinización y abastecimiento de la población.
