M-AILABS_rus_000209	oblomov_s000381	Следовательно, нет причины, чтоб вы знали про меня все, что знает Андрей Иваныч, - договорил он.
M-AILABS_rus_000409	argentinetz_s001725	Возчик обрадовался, что суровый большевик поддержал разговор. Во-во! Я, когда с войны возвращался, видел их: им Временное правительство ружья и паёк выдало,
M-AILABS_rus_000410	oblomov_s006171	Я думал, сударь, что. отчего, мол, думал, не переехать? - дрожащим от душевной тревоги голосом говорил Захар.
M-AILABS_rus_000411	chetvero_nischih_s000931	третий слепой, четвертый кривлялся, одержимый пляскою святого Витта.
M-AILABS_rus_000412	mnogo_shuma_iz_nichego_s001497	Леонато.
M-AILABS_rus_000413	oblomov_s006002	Как угодно-с, - отвечал Иван Матвеевич. - А если не приищете жильца, как же насчет контракта? Сделаете удовлетворение? Вам убыток будет.
M-AILABS_rus_000414	oblomov_s006147	Да вот говорим, что.
M-AILABS_rus_000415	oblomov_s005314	Вот у вас все так: можно и не мести, и пыли не стирать, и ковров не выколачивать. А на новой квартире, - продолжал Илья Ильич, увлекаясь сам живо представившейся ему картиной переезда,
M-AILABS_rus_000416	oblomov_s000540	Как, навсегда? - с изумлением спросил Штольц, устраняясь от его объятий и глядя ему в лицо.
M-AILABS_rus_000417	oblomov_s005266	Как что? Все.
M-AILABS_rus_000418	strashnaya_minuta_s000915	что ему, наверно, так давно уже надоело в городе.
M-AILABS_rus_000419	argentinetz_s000486	в ряды Красной армии, в её китайский батальон!
M-AILABS_rus_000420	oblomov_s006081	Что-нибудь да должно же занимать свет и общество, - сказал Штольц, - у всякого свои интересы. На то жизнь.
M-AILABS_rus_000421	oblomov_s004983	Крыльцо висело над оврагом, и чтоб попасть на крыльцо ногой, надо было одной рукой ухватиться за траву, другой за кровлю избы и потом шагнуть прямо на крыльцо.
M-AILABS_rus_000422	jizn_gnora_s000883	Все дело случая, - как бы угадывая его мысли, сказал Энниок, продолжая возиться у полотенца. - Может быть, вы зато счастливы в любви. Итак, я вам приготовлю каюту.
M-AILABS_rus_000423	strashnaya_minuta_s000931	Это оттого, что гроза приближается,- обманывала себя Варвара Михайловна, чувствуя, как жаркая истома разливается по всему ее телу и как трудно и прерывисто дышит ее грудь.
M-AILABS_rus_000424	sulamif_s000483	Она вышла из бассейна свежая, холодная и благоухающая, покрытая дрожащими каплями воды.
M-AILABS_rus_000425	argentinetz_s004059	Когда Нина вошла в комнату, старая графиня что-то писала, сидя за столом. Вы хотели со мной поговорить?
M-AILABS_rus_000426	oblomov_s001428	вывела его на лунный свет и вопросительно посмотрела ему в глаза.
M-AILABS_rus_000427	argentinetz_s001389	Пусть помнят, что мы всё-таки создали первое в мире рабоче-крестьянское государство.
M-AILABS_rus_000428	mnogo_shuma_iz_nichego_s001529	Надеюсь; разве в январе станет жарко.
M-AILABS_rus_000429	oblomov_s004462	Нет, постой! - вдруг остановил Обломов.
M-AILABS_rus_000430	mnogo_shuma_iz_nichego_s001318	Молчи. Я знаю их насквозь - Пустые франты и лгуны! Мальчишки!
M-AILABS_rus_000431	argentinetz_s003755	Слушатели выходили из зала молчаливые и потрясённые. Каждый из них вынужден был заглянуть в своё будущее. Много надо иметь гражданского мужества,
M-AILABS_rus_000432	oblomov_s004370	и эта задумчивость легла навсегда тенью на ее лицо.
M-AILABS_rus_000433	chetvero_nischih_s000924	Ладно, Ю-ю, будем писать дальше.
M-AILABS_rus_000434	oblomov_s005333	Дверь с хозяйской половины отворилась, и вошла Агафья Матвеевна, неся проворно шипящую сковороду с яичницей.
M-AILABS_rus_000435	argentinetz_s000479	к этому относишься спокойно, когда это происходит с кем-то чужим, но когда видишь друга, перебитого горем, когда примеряешь его беду на себя - кровь стынет в жилах.
M-AILABS_rus_000436	oblomov_s005399	Вы нашли квартиру? - спросил, в свою очередь, Захар.
M-AILABS_rus_000437	argentinetz_s003463	Наступила ночь, а Нина всё сидела, не меняя позы, и смотрела на огонь коптилки на столике у дежурного врача. Ей казалось, что души расстрелянных бродят здесь, по рядам храпящих бойцов.
M-AILABS_rus_000438	oblomov_s000214	что я дурного ничего не делаю и ты тоже.
M-AILABS_rus_000439	mnogo_shuma_iz_nichego_s000997	Все равно, цирюльника видели у него, и то, что прежде служило украшением его ланит, пошло на набивку теннисных мячей.
M-AILABS_rus_000440	oblomov_s006931	От этого, может быть, так и тяжело ему смотреть на море.
M-AILABS_rus_000441	oblomov_s008047	Что, если это ропот бесплодного ума или, еще хуже, жажда не созданного для симпатии, неженского сердца! Боже! Она, его кумир, - без сердца, с черствым, ничем не довольным умом!
M-AILABS_rus_000442	oblomov_s005887	А где я его сыщу? Разве я знаю, какое письмо вам нужно? Я не умею читать.
M-AILABS_rus_000443	mnogo_shuma_iz_nichego_s000611	Леонато.
M-AILABS_rus_000444	mnogo_shuma_iz_nichego_s000945	Леонато.
M-AILABS_rus_000445	sulamif_s000268	Когда выходил царь из дома Ливанского малыми южными дверями, стал на его пути некто в желтой кожаной одежде, приземистый, широкоплечий человек с темно-красным сумрачным лицом,
M-AILABS_rus_000446	falshiviy_kupon_s000691	Махин был дома и собирался в театр: в грязной комнатке его пахло душистым мылом и одеколоном.
M-AILABS_rus_000447	oblomov_s003933	Да как это вы вздумали? И мне ни слова! - упрекал он.
M-AILABS_rus_000448	argentinetz_s001390	Поставили в документы штамп, и мы теперь не имеем права покинуть Нижний Новгород без специального разрешения.
M-AILABS_rus_000449	argentinetz_s004001	Ох, лучше бы Клим вовсе не приезжал! Он принял её за горничную, тут же разглядев, что она принадлежит к низшему сословию.
M-AILABS_rus_000450	oblomov_s003982	боялся возмутить этот невозмутимый, безоблачный мир вопросом такой строгой важности.
M-AILABS_rus_000451	oblomov_s008161	прибавила она с гордостью, как будто дело сделала.
M-AILABS_rus_000452	oblomov_s002208	Как ей быть? Оставаться в нерешительном положении нельзя: когда-нибудь от этой немой игры и борьбы запертых в груди чувств дойдет до слов - что она ответит о прошлом!
M-AILABS_rus_000453	argentinetz_s002178	Саблин велел Нине, чтобы она таскала раненых. Пытался её удержать, когда по окончании погрузки она кинулась назад на верхнюю палубу. Мне нужно в город! - кричала она. - Там Клим!
M-AILABS_rus_000454	mnogo_shuma_iz_nichego_s000195	Нет, я уж этот надену.
M-AILABS_rus_000455	falshiviy_kupon_s000451	ни мужу за жестокие слова, которые он сказал ей, ни, главное, тем двум мальчишкам-негодяям, которые так ловко обманули ее.
M-AILABS_rus_000456	mnogo_shuma_iz_nichego_s002093	Урсула.
M-AILABS_rus_000457	oblomov_s008582	Она вынула из портфеля письмо и подала ему. Он подошел к свечке, прочел и положил на стол. А глаза опять обратились на нее с тем же выражением,
M-AILABS_rus_000458	oblomov_s008712	За границу! - вдруг, усмехнувшись, проговорил Захар. - Благо что поговорили, а то за границу!
M-AILABS_rus_000459	argentinetz_s001554	Известия о том, что Великобритания прекращает снабжение, повергла белых в ужас. Всё чаще звучали призывы сменить старорежимного Деникина на блестящего кавалерийского генерала Врангеля.
M-AILABS_rus_000460	oblomov_s000498	что вы принадлежите не прошлому, не любви, что вы свободны.
M-AILABS_rus_000461	mnogo_shuma_iz_nichego_s001513	Клавдио.
M-AILABS_rus_000462	oblomov_s005614	Извергнуть! А как вы извергнете из круга человечества, из лона природы, из милосердия божия? - почти крикнул он с пылающими глазами.
M-AILABS_rus_000463	sulamif_s000211	что значит Живущий на Западе.
M-AILABS_rus_000464	argentinetz_s000353	Нина так и не призналась Климу, что к ней захаживал Матвей Львович, но всё же намекнула, что они с Жорой принимали участие в подготовке восстания.
M-AILABS_rus_000465	oblomov_s004537	Ей-богу, правда.
M-AILABS_rus_000466	chetvero_nischih_s000502	Мы внутри замкнутого полукруга.
M-AILABS_rus_000467	argentinetz_s002623	Клим приоткрыл дверь и выглянул наружу. Да тут целый съезд солдатских депутатов! Давайте документы, доктор!
M-AILABS_rus_000468	jizn_gnora_s000791	Об этом, - неохотно сказал Гнор, - я расскажу одному вам.
M-AILABS_rus_000469	mnogo_shuma_iz_nichego_s000778	Ваша милость говорит как достойный, признательный молодой человек.
M-AILABS_rus_000470	argentinetz_s000379	И всё же её не покидало чувство, будто почва уходит у неё из-под ног.
M-AILABS_rus_000471	jizn_gnora_s000013	Он стал мыть их, нервно стуча педалью фаянсового умывальника.
M-AILABS_rus_000472	jizn_gnora_s000271	Доктор, пожилой человек, по-видимому, сам лично принимающий горячее участие во всей этой истории, сидел возле койки. Больной, лежа, смотрел в сторону и слушал.
M-AILABS_rus_000473	oblomov_s000807	Шествие иногда нарушалось бледночернильным большим пятном.
M-AILABS_rus_000474	oblomov_s001469	для виду только, обороняется от барской ласки, а сама счастлива.
M-AILABS_rus_000475	sulamif_s000672	Вот лежит твой отец, собаки могут растерзать его труп. Что нам делать? Почтить ли память царя и осквернить субботу или соблюсти субботу, но оставить труп твоего отца на съедение собакам?
M-AILABS_rus_000476	oblomov_s003086	Я не мешаю вам? - спросил он, садясь к окну в ее комнате, обращенному на озеро. - Вы читали?
M-AILABS_rus_000477	falshiviy_kupon_s000354	То-то и горе, что нету. Мне дал отец, надо же разменять.
M-AILABS_rus_000478	oblomov_s006745	Ты шутишь, Ольга, а я не шутя говорю. и не все еще сказал.
M-AILABS_rus_000479	mnogo_shuma_iz_nichego_s001269	Конрад Неужели вы не придумаете, на что употребить вашу досаду?
M-AILABS_rus_000480	oblomov_s006963	Он предчувствовал близкую смерть и боялся ее.
M-AILABS_rus_000481	mnogo_shuma_iz_nichego_s002276	Со мною?
M-AILABS_rus_000482	strashnaya_minuta_s000730	Зато всю прелесть этого быстрого сближения портил господин Яворский - муж Любови Ивановны. Трудно было придумать более типичную бюрократическую физиономию:
M-AILABS_rus_000483	oblomov_s007211	Никогда! - повторила она.
M-AILABS_rus_000484	sulamif_s000756	Где же твое окно, единственная моя?
M-AILABS_rus_000485	oblomov_s005153	Он ждал с замирающим сердцем ее шагов. Нет, тихо. Природа жила деятельною жизнью; вокруг кипела невидимая, мелкая работа, а все, казалось, лежит в торжественном покое.
M-AILABS_rus_000486	oblomov_s007337	Ах, какая гадость! - говорила тетка, отодвигая, но не пряча книгу и не принимая никаких мер, чтоб Ольга не прочла ее.
M-AILABS_rus_000487	oblomov_s003325	Воскресят, ты думаешь? - перебил Андрей.
M-AILABS_rus_000488	sulamif_s000087	и кошачий глаз - оберегающий имущество, разум и здоровье своего владельца; и бледный, сине-зеленый, как морская вода у берега, вериллий - средство от бельма и проказы, добрый спутник странников;
M-AILABS_rus_000489	sulamif_s000384	Видала ли ты, как с Галаада вечером спускается овечье стадо? Оно покрывает всю гору, с вершины до подножья, и от света зари и от пыли кажется таким же красным и таким же волнистым, как твои кудри.
M-AILABS_rus_000490	oblomov_s004044	Обломов не дождался заслуженной кары, ушел домой и прислал медицинское свидетельство.
M-AILABS_rus_000491	oblomov_s007101	Между тем жара начала понемногу спадать; в природе стало все поживее; солнце уже подвинулось к лесу.
M-AILABS_rus_000492	argentinetz_s003791	Не нашлось. Потому что большинство людей, подобно Климу, решило, что лично им выгоднее помогать красным или сохранять нейтралитет. Для кого-то это было осознанное действие,
M-AILABS_rus_000493	argentinetz_s002464	Лишь бы она верила в наши силы. Мы будем бродить по центру Буэнос-Айреса, смотреть из-под ладоней на вычурные здания в лепнине и гадать, кто обитает за закрытыми жалюзи.
M-AILABS_rus_000494	oblomov_s001511	Он начал застегивать сюртук.
M-AILABS_rus_000495	argentinetz_s001790	А я ведь пару раз проходил мимо.
M-AILABS_rus_000496	argentinetz_s003255	Вместе с семьями, челядью и наложницами.
M-AILABS_rus_000497	mnogo_shuma_iz_nichego_s002281	И ежели расчет мой неудачен Во всем другом, так несомненно то, Что мнимая кончина уничтожит Все злые толки, усыпит молву - И вы укроете ее - а ей Чего желать без доброй славы в мире?
M-AILABS_rus_000498	argentinetz_s000283	Из Осинок тоже не было известий, и Нина подозревала, что у неё больше нет завода. Рабочие, не получая платы, наверняка растащили оборудование и разграбили барский дом.
M-AILABS_rus_000499	jizn_gnora_s000618	Лицо палача, заурядное своей грубостью, ничем не выделившей бы его в простонародной толпе, влекло к себе взгляд Эбергайля; в лице этом, благодаря власти безнаказанно,
M-AILABS_rus_000500	sulamif_s000602	Суламифь, - говорит она.
M-AILABS_rus_000501	sulamif_s000641	Дрожа от робости, ожиданья и счастья, расстегнула Суламифь свои одежды, опустила их вниз к ногам и, перешагнув через них, осталась среди комнаты нагая,
M-AILABS_rus_000502	oblomov_s001128	что он почти нес ее в объятиях домой, слышал нескромный шепот ее сердца?
M-AILABS_rus_000503	mnogo_shuma_iz_nichego_s001738	И точно так удим мы Беатриче.
M-AILABS_rus_000504	oblomov_s000940	Мне даже страшно с тобой, здесь, в темноте.
M-AILABS_rus_000505	argentinetz_s001264	Троцкий спрыгнул с подножки и, пошарив взглядом по лицам, подошёл к Климу. Брат! Нам с тобой нужна свобода, тебе и мне. Её дали нам большевики,
M-AILABS_rus_000506	strashnaya_minuta_s000090	чем можно было предполагать, судя по его улыбке и победоносной манере держать себя.
M-AILABS_rus_000507	oblomov_s002270	и капризен-то он, и скуп, и сердит, и что не угодишь ему ни в чем, что, словом, лучше умереть, чем жить у него.
M-AILABS_rus_000508	oblomov_s007148	Мы так быстро собрались, что не хотели писать к вам, - сказала тетка. - Ольга хотела вам сделать сюрприз.
M-AILABS_rus_000509	oblomov_s008228	Врет Михей Андреич! - с досадой сказал Обломов. - Дайте мне контракт!
M-AILABS_rus_000510	oblomov_s002404	где сражается в непрестанной битве человек и уходит с поля битвы истерзанный и все недовольный и ненасытимый.
M-AILABS_rus_000511	oblomov_s006149	только усмехнется и опять заботливо толчет, гладит и трет на большом столе.
M-AILABS_rus_000512	falshiviy_kupon_s000695	И так до трех раз он спросил ее. Но она все-таки ничего не сказала. И он проснулся. С тех пор ему легче стало, и он как бы очнулся, оглянулся вокруг себя.
M-AILABS_rus_000513	oblomov_s004180	А шагов все не слыхать. Наконец, вот. Ох! - вздохнул Обломов, тихонько раздвигая ветви. - Она, она. Что это? плачет! Боже мой!
M-AILABS_rus_000514	argentinetz_s003543	Иностранцы в белых костюмах и с чемоданами, оклеенными заграничными марками, были для них желанной добычей, и Климу пришлось отпустить тёмную щетину,
M-AILABS_rus_000515	argentinetz_s002697	Этот подлец дал объявление, что те, кто погрузит не менее пятидесяти пудов, получит место на корабле. Почему вывозится артиллерия, а не больные и раненые?
M-AILABS_rus_000516	mnogo_shuma_iz_nichego_s001834	Конрад Здесь, у твоего локтя.
M-AILABS_rus_000517	falshiviy_kupon_s000601	Евгений Михайлович, хотя и мучился сознанием гадости и опасности того, что он делал, не мог уже теперь изменить показания и продолжал с внешне спокойным видом все отрицать.
M-AILABS_rus_000518	falshiviy_kupon_s000038	Тогда скажет и тем, которые по левую сторону: Идите от меня, проклятые, в огнь вечный, уготованный дьяволу и ангелам его: ибо алкал я, и вы не дали мне есть;
M-AILABS_rus_000519	oblomov_s008364	следовательно, видел и слышал то, что знали и другие.
M-AILABS_rus_000520	mnogo_shuma_iz_nichego_s000612	Нет, лучше наймусь за шесть пенсов к какому-нибудь бородатому вожаку медведей отводить его обезьян в преисподнюю.
M-AILABS_rus_000521	oblomov_s006950	Прохожий сделал движение, чтоб приподнять голову, но не мог: он, по-видимому, был нездоров или очень утомлен.
M-AILABS_rus_000522	oblomov_s001275	Поди вон! - повторил Илья Ильич.
M-AILABS_rus_000523	mnogo_shuma_iz_nichego_s001475	Бенедикт.
M-AILABS_rus_000524	argentinetz_s003487	что они будут вместе пить кофе на балконе его дома в Буэнос-Айресе.
M-AILABS_rus_000525	argentinetz_s002656	Монеты прячут в подмётках или обтягивают тканью и пришивают вместо пуговиц. А ты на выход! - приказал он Климу.
M-AILABS_rus_000526	jizn_gnora_s000232	Они стояли все на берегу. живые лица, как теперь вы. Они исчезли, когда я был от них ближе пяти шагов. Лодку унес туман. Туман рассеялся. Все по-старому.
M-AILABS_rus_000527	sulamif_s000574	на верху виноградника, под сенью деревьев, еще затаивших в своих ветвях росистую прохладу ночи.
M-AILABS_rus_000528	oblomov_s007269	От этого даже и закрытый бюст ее, когда она была без платка, мог бы послужить живописцу или скульптору моделью крепкой, здоровой груди, не нарушая ее скромности.
M-AILABS_rus_000529	chetvero_nischih_s000106	Теперь все зрители понимают, что водолаз дошел до дна, и все вздыхают, точно с облегчением. Самое страшное окончилось.
M-AILABS_rus_000530	oblomov_s003266	Она теснее прижалась к нему.
M-AILABS_rus_000531	oblomov_s002546	или недоумение, или простодушное любопытство, как будто ей уж не о чем спрашивать, нечего знать, нечему удивляться!
M-AILABS_rus_000532	chetvero_nischih_s000371	Бора
M-AILABS_rus_000533	strashnaya_minuta_s000547	глядя на нее в упор, прямо обращаясь к ней, запел после бурной прелюдии, придавая своему голосу и фразировке яркий, своеобразный, цыганский колорит, известный романс Тарновского:
M-AILABS_rus_000534	jizn_gnora_s000658	На это Комон употребил две минуты.
M-AILABS_rus_000535	oblomov_s005438	Кто-то идет! - сказала Ольга.
M-AILABS_rus_000536	argentinetz_s001795	Но оказалось, что Нина уже ушла домой. Одна, посреди ночи.
M-AILABS_rus_000537	oblomov_s002680	Настала одна из ясных, сознательных минут в жизни Обломова.
M-AILABS_rus_000538	argentinetz_s000560	Осип отшвырнул её так, что она ударилась о стол. Господа, да вы с ума сошли! - ахнула Софья Карловна.
M-AILABS_rus_000539	argentinetz_s001433	Внезапно она увидела за его спиной офицера-медика. Доктор Саблин!
M-AILABS_rus_000540	oblomov_s000558	дорожный несессер, хотел - мешок для провизии, но десять человек сказали, что за границей провизии не возят.
M-AILABS_rus_000541	oblomov_s006145	Глаза заблистали у него, как бывало в парке. Опять гордость и сила воли засияли в них.
M-AILABS_rus_000542	argentinetz_s001041	У Клима всё похолодело внутри. Значит, они всё-таки решили опубликовать отчёт о местных выборах.
M-AILABS_rus_000543	strashnaya_minuta_s000954	Твоей любви вкусить дай сладость.
M-AILABS_rus_000544	chetvero_nischih_s001043	пахнущее свежераздавленным виноградом;
M-AILABS_rus_000545	falshiviy_kupon_s000090	Архиерей посадил Мисаила с собой и стал говорить о том, какие новости проявились в его епархии.
M-AILABS_rus_000546	argentinetz_s003748	занявшие места на полках, победно храпели, а прочие спали стоя, мотая головами.
M-AILABS_rus_000547	oblomov_s002313	Может быть, найду, когда услышу.
M-AILABS_rus_000548	oblomov_s002939	Вот, забыл отдать, от перевозки осталось, - сказал он.
M-AILABS_rus_000549	oblomov_s008752	По-прежнему слышалось только качанье маятника, стук сапог Обломова да легкий треск откушенной нитки.
M-AILABS_rus_000550	oblomov_s005654	Не я съел! - огрызался Захар.
M-AILABS_rus_000551	argentinetz_s000254	И вдруг раздался грохот, дикий крик, и двое мужчин выволокли Нину в прихожую. Где этот сучонок?!
M-AILABS_rus_000552	argentinetz_s003209	Эх, чёрт вас знает, откуда вы берётесь! Одно ясно: жулик и сукин сын.
M-AILABS_rus_000553	argentinetz_s001797	Лишь бы прислуга не пронюхала, что ты тут. Матвей Львович приехал! - крикнула с лестницы Софья Карловна.
M-AILABS_rus_000554	oblomov_s000395	Оно бы ничего, но все эти господа и госпожи смотрели на него так странно; и это, пожалуй, ничего. Прежде, бывало, иначе на него и не смотрели благодаря его сонному,
M-AILABS_rus_000555	oblomov_s008906	Вот ты теперь станешь думать, а я буду мучиться, что ты выдумаешь один про себя. Напрасно я сказала! - прибавила она. - Лучше говори что-нибудь.
M-AILABS_rus_000556	oblomov_s005407	Что это она все о ячменях? - подумал Обломов.
M-AILABS_rus_000557	argentinetz_s000870	где русский рабочий получал три рубля в день, азиатам давали полтора.
M-AILABS_rus_000558	mnogo_shuma_iz_nichego_s001734	Дон Педро.
M-AILABS_rus_000559	argentinetz_s002682	Снаружи, из-за заграждения, раздался паровозный гудок. Мосс, к воротам! - закричал капитан Прайд.
M-AILABS_rus_000560	oblomov_s001189	Денег пожалуйте! - шептал Захар.
M-AILABS_rus_000561	oblomov_s000738	чутко вслушиваясь в небывалый трепет, зорко и робко вглядываясь в каждое новое проявление пробуждающейся новой силы.
M-AILABS_rus_000562	oblomov_s000450	Ольга с строгой задумчивостью слушала эти излияния страсти.
M-AILABS_rus_000563	oblomov_s004330	Потом она становилась все тише, тише, дыхание делалось ровнее. Она примолкла. Он думал, не заснула ли она, и боялся шевельнуться.
M-AILABS_rus_000564	jizn_gnora_s000586	Я жил в полусне новых явлений. Тогда один случай, может быть незначительный в сложном обиходе человеческих масс, наполняющих тысячи кораблей,
M-AILABS_rus_000565	oblomov_s005182	что на рынках лавочники мало-помалу перестали ей низко кланяться с улыбкой и что эти поклоны и улыбки стали доставаться новой, толстой, нарядной кухарке ее братца.
M-AILABS_rus_000566	oblomov_s001687	на маленьком детском стуле с задвижкой, усаживался какой-то ребенок лет трех.
M-AILABS_rus_000567	mnogo_shuma_iz_nichego_s001995	Так научи меня и ты увидишь, С какою легкостью я разрешу, Любя тебя, труднейшую задачу.
M-AILABS_rus_000568	chetvero_nischih_s000443	Водолазы
M-AILABS_rus_000569	argentinetz_s003231	Настой на корках апельсина,
M-AILABS_rus_000570	argentinetz_s000848	Нина бросила карандаш на стол, и он, покатившись, упал ей на колени. Вы что, не понимаете, что Софья Карловна хочет нас поссорить? Она же сама прислала ко мне Рогова.
M-AILABS_rus_000571	oblomov_s007464	взгляд, слово, скуку или радость;
M-AILABS_rus_000572	oblomov_s008720	свой жемчуг, полученный в приданое.
M-AILABS_rus_000573	argentinetz_s001088	Поцелуй меня! - просила Нина.
M-AILABS_rus_000574	argentinetz_s003237	когда на человека приходится по двести пудов груза.
M-AILABS_rus_000575	falshiviy_kupon_s000692	Что, Мария Семеновна, казну получили?- прокричал он ей с другой стороны улицы.
M-AILABS_rus_000576	oblomov_s006813	Боже мой, и она смотрит! - думает Обломов. - Что я с этой кучей сделаю?
M-AILABS_rus_000577	mnogo_shuma_iz_nichego_s001525	Клавдио.
M-AILABS_rus_000578	argentinetz_s000919	На остановках двери не открывали. В них колотили прикладами и грозили кинуть под вагон гранату. Местов нету! - кричали мешочники.
M-AILABS_rus_000579	oblomov_s001546	постель не измята, барина нет!
M-AILABS_rus_000580	oblomov_s007537	Это фейерверк, взрыв бочонка с порохом; а потом что? Оглушение, ослепление и опаленные волосы!
M-AILABS_rus_000581	oblomov_s002118	Обломов думал успокоиться, разделив заботу с Ольгой, почерпнуть в ее глазах и ясной речи силу воли и вдруг, не найдя живого и решительного ответа, упал духом.
M-AILABS_rus_000582	mnogo_shuma_iz_nichego_s000692	Борахио.
M-AILABS_rus_000583	oblomov_s003252	Все обомлели; хозяйка даже изменилась немного в лице; глаза у всех устремились и носы вытянулись по направлению к письму.
M-AILABS_rus_000584	argentinetz_s002491	Там тоже очень красиво, - мечтательно произнёс Клим. - Высокие окна с жалюзи, что ни дверь - то произведение искусства. Но народ, конечно, не шикует.
M-AILABS_rus_000585	argentinetz_s002912	Ну и в детстве по Европе прокатился. А жена твоя сбежала из-под ареста?
M-AILABS_rus_000586	jizn_gnora_s000027	Утром он пробудился с явственным ощущением топора, касающегося его шеи. Мысль о топоре и отделении посредством его головы от туловища стала за последнее время постоянным спутником Эбергайля;
M-AILABS_rus_000587	oblomov_s005755	Да, сделай вам милость, а после сами же будете гневаться, что не разбудил.
M-AILABS_rus_000588	mnogo_shuma_iz_nichego_s001409	Отец Франциск, монах.
M-AILABS_rus_000589	argentinetz_s002226	и выкрики постепенно стихли.
M-AILABS_rus_000590	oblomov_s008191	Пусть же будет опять хорошо! - умолял Обломов.
M-AILABS_rus_000591	argentinetz_s002954	Почему бы ей не найти приличного мужа, вроде доктора Саблина, и не жить, как Любочка, на всём готовом?
M-AILABS_rus_000592	oblomov_s001198	Да, в особенности для меня, - сказал Обломов, - я так мало читаю.
M-AILABS_rus_000593	falshiviy_kupon_s000236	но что было важнее всего того, что люди видели.
M-AILABS_rus_000594	mnogo_shuma_iz_nichego_s002113	Кисель.
M-AILABS_rus_000595	oblomov_s002975	Люди с криками, с воплями, собаки с лаем мчатся по деревне.
M-AILABS_rus_000596	oblomov_s001344	Он вздохнул.
M-AILABS_rus_000597	oblomov_s002875	А хитрость - как мышь: обежит вокруг, прячется. Да и характер у Ольги не такой. Что же это такое? Что еще за новость?
M-AILABS_rus_000598	argentinetz_s003599	Нину будто накрыло взрывной волной: она не могла вздохнуть, не могла пошевелиться и лишь через некоторое время пришла в себя в кресле - совсем не там, где её застигло ударом.
M-AILABS_rus_000599	oblomov_s008238	Изменив службе и обществу, он начал иначе решать задачу существования, вдумывался в свое назначение и наконец открыл, что горизонт его деятельности и житья-бытья кроется в нем самом.
M-AILABS_rus_000600	oblomov_s003318	которое хоть бы на волос выходило за границы теплой, сердечной, но обыкновенной дружбы.
M-AILABS_rus_000601	argentinetz_s000509	В честь великого праздника Саблину дали выходной, и впервые за много дней он остался один в доме. Бывший тесть уехал в Кремль на торжественный концерт,
M-AILABS_rus_000602	oblomov_s002325	Пойдем, мама, гулять, - говорит Илюша.
M-AILABS_rus_000603	oblomov_s003168	Обломов еще чиннее вел себя, и все трое как нельзя более довольны были друг другом.
M-AILABS_rus_000604	argentinetz_s003106	Нина развернулась и побежала назад - Я верну его! - и, как на каменную стену, наткнулась на Матвея Львовича. Следуйте за мной! - Голос у него был как у тюремного конвоира.
M-AILABS_rus_000605	oblomov_s005028	Но он жестоко разочаровался в первый же день своей службы. С приездом начальника начиналась беготня, суета, все смущались, все сбивали друг друга с ног,
M-AILABS_rus_000606	sulamif_s000362	ее имя боялись произносить на супружеском ложе, как знак осквернения и напасти.
M-AILABS_rus_000607	oblomov_s001123	Ну, что ж ты?
M-AILABS_rus_000608	argentinetz_s000299	Любочка нахмурилась. Какая горничная? Ну, та, что заперла меня в библиотеке. Это моя подруга, графиня Одинцова. Мой муж дежурит сегодня в больнице,
M-AILABS_rus_000609	falshiviy_kupon_s000630	Бродяги эти взялись обыгрывать молодого богатенького арестанта и отобрали у него все, что у него было. Степан вступился за него и отнял у них выигранные деньги.
M-AILABS_rus_000610	oblomov_s002151	Говорите. я слепо исполню! - почти с страстною покорностью прибавила она.
M-AILABS_rus_000611	oblomov_s004958	Обломова опять стало кидать в жар и холод. Теперь уж он догадывался о причине той перемены Ольги. Перемена эта была для него почему-то тяжеле прежней.
M-AILABS_rus_000612	oblomov_s004182	выпуская из себя по сторонам резвые ручьи, под журчанье которых сладко дремлется.
M-AILABS_rus_000613	jizn_gnora_s000798	Вам незачем идти дальше. - Энниок стоял к Гнору спиной. - Тут неподалеку. он. я не хотел бы сразу и сильно удивить его, являясь вдвоем. Вот сигары.
M-AILABS_rus_000614	oblomov_s001948	и вслед за тем начало раздаваться ровное храпенье безмятежно спящего человека.
M-AILABS_rus_000615	mnogo_shuma_iz_nichego_s000828	Ты думаешь, я шучу - нет, сделай милость, скажи мне откровенно, как, она тебе нравится?
M-AILABS_rus_000616	sulamif_s000217	Подожди, это еще не все. Сегодняшний утренний ветер дал и мне радость, которой я не ожидал. Итак, к дарам этих купцов я прибавлю и свой царский дар.
M-AILABS_rus_000617	argentinetz_s000766	Кафе было не столько трапезной, сколько клубом и биржей, где на торги выставляли всё: от солдатских подштанников до акций сталелитейных заводов.
M-AILABS_rus_000618	oblomov_s007298	Илья Ильич, - вдруг гордо прибавила она, встав со скамьи, - что я много выросла с тех пор, как узнала вас, и знаю, как называется игра, в которую вы играете.
M-AILABS_rus_000619	falshiviy_kupon_s000392	На другой день он совсем оправился, и его взяли из больницы и поместили уже не в отдельную, а в общую камеру.
M-AILABS_rus_000620	oblomov_s000138	сгорел, говорят, не достроился, а изобретатель бежал с твоими деньгами.
M-AILABS_rus_000621	oblomov_s003268	Чтоб ты. завтра пришел к нам.
M-AILABS_rus_000622	mnogo_shuma_iz_nichego_s000767	А ничего: слова и только.
M-AILABS_rus_000623	mnogo_shuma_iz_nichego_s000185	Вы никогда не лишитесь рассудка, племянница.
